group_type,group_value,num_edges,mean_loss_weight,median_loss_weight,max_loss_weight,mean_planner_usage_count,method
support_group,high_support,1194,0.8602278551552572,0.8571763418678727,1.2021021807966872,0.0,augmented_loss_support_bottleneck_s03
support_group,low_support,1203,1.1350730078630644,1.0848506830614435,1.8,0.0,augmented_loss_support_bottleneck_s03
bottleneck_group,high_bottleneck,1194,1.0346979738969821,0.9786698162332141,1.8,0.0,augmented_loss_support_bottleneck_s03
bottleneck_group,low_bottleneck,1203,0.9619081518550685,0.9312893163227565,1.4020852840652303,0.0,augmented_loss_support_bottleneck_s03
horizon_group,long_horizon,323,1.0917331886185895,1.08611712374246,1.8,0.0,augmented_loss_support_bottleneck_s03
horizon_group,short_horizon,2074,0.9835945359647249,0.9346783597025805,1.8,0.0,augmented_loss_support_bottleneck_s03
compatibility_group,unknown,2397,0.9981664111450329,0.9516489889799284,1.8,0.0,augmented_loss_support_bottleneck_s03
planner_usage_group,not_planner_used,2397,0.9981664111450329,0.9516489889799284,1.8,0.0,augmented_loss_support_bottleneck_s03
loss_weight_reason,support_bottleneck,2397,0.9981664111450329,0.9516489889799284,1.8,0.0,augmented_loss_support_bottleneck_s03
support_group,high_support,1194,0.8549084910157165,0.8460661567930496,1.1991986581497265,0.23869346733668342,planner_relevant_repair_s04
support_group,low_support,1203,1.1440060363484907,1.0833762427175975,2.0962720759559668,0.05236907730673317,planner_relevant_repair_s04
bottleneck_group,high_bottleneck,1194,1.0449355720049858,0.9807789193823474,2.0962720759559668,0.17671691792294808,planner_relevant_repair_s04
bottleneck_group,low_bottleneck,1203,0.9554006043441787,0.9204608945026076,1.5363200771917414,0.11388196176226101,planner_relevant_repair_s04
horizon_group,long_horizon,323,1.0950688010872125,1.0693808228478925,2.0962720759559668,0.07430340557275542,planner_relevant_repair_s04
horizon_group,short_horizon,2074,0.9851942031093687,0.932573438175297,2.061363522414026,0.1562198649951784,planner_relevant_repair_s04
compatibility_group,unknown,2397,1.0,0.946860825709698,2.0962720759559668,0.14518147684605756,planner_relevant_repair_s04
planner_usage_group,not_planner_used,2168,1.0066523997925225,0.9588220648265604,2.0962720759559668,0.0,planner_relevant_repair_s04
planner_usage_group,planner_used,229,0.9370200753266865,0.8581050006162549,1.9272353231239217,1.519650655021834,planner_relevant_repair_s04
loss_weight_reason,base_support_bottleneck,1897,0.9635005714195117,0.9191994475227824,1.7566648601826504,0.15445440168687402,planner_relevant_repair_s04
loss_weight_reason,hard_repair,452,1.130123395545435,1.0620257309356826,2.0962720759559668,0.0,planner_relevant_repair_s04
loss_weight_reason,planner_used_repair,48,1.2171591923052014,1.167444148312483,1.9272353231239217,1.1458333333333333,planner_relevant_repair_s04
