condition,top_q,removed_nodes,path_coverage,mean_path_cost,reachable_pair_ratio,average_shortest_path_length
before,0.1,,0.992,48.87267223507899,0.992,92.15650553830537
after,0.1,207 167 146 186 358 27 209 252 127 46 233 187 231 86 332 241 292 232 206 313 312 87 378 281 222 208,0.69,59.985870131773254,0.69,85.46078459014552
