step,train_action_mse,train_weighted_action_mse
1,0.570880651473999,0.5717663168907166
1000,0.14464348554611206,0.13683024048805237
2000,0.11073393374681473,0.10270252078771591
3000,0.09599688649177551,0.08922166377305984
4000,0.09188564121723175,0.08419415354728699
5000,0.08359149843454361,0.077058345079422
6000,0.07941043376922607,0.07352836430072784
7000,0.072029709815979,0.06528694182634354
8000,0.07324469089508057,0.06781689822673798
9000,0.06847594678401947,0.061487507075071335
10000,0.06527376174926758,0.05942413583397865
11000,0.0636405497789383,0.05698216333985329
12000,0.059799306094646454,0.053682878613471985
13000,0.05709289014339447,0.05141434073448181
14000,0.05492045357823372,0.04939142242074013
15000,0.056047264486551285,0.04973338171839714
16000,0.059368573129177094,0.054525163024663925
17000,0.053972527384757996,0.048419829457998276
18000,0.05574391037225723,0.051623351871967316
19000,0.049928538501262665,0.044997476041316986
20000,0.049225516617298126,0.04383380711078644
21000,0.0465136356651783,0.041511084884405136
22000,0.04987353831529617,0.04494407773017883
23000,0.04843003302812576,0.04328051581978798
24000,0.0457601398229599,0.04099247232079506
25000,0.045202191919088364,0.04100404307246208
26000,0.049715444445610046,0.044965002685785294
27000,0.04102876037359238,0.037143465131521225
28000,0.04355473443865776,0.03918612003326416
29000,0.04484082758426666,0.04084949940443039
30000,0.04308120161294937,0.038385141640901566
31000,0.04536837711930275,0.04153052717447281
32000,0.03950168937444687,0.0355391688644886
33000,0.04133877903223038,0.03738163784146309
34000,0.03885350376367569,0.03457556664943695
35000,0.03967498242855072,0.03562825545668602
36000,0.038631536066532135,0.034723471850156784
37000,0.0372791662812233,0.033643849194049835
38000,0.03996890038251877,0.036117229610681534
39000,0.0408426932990551,0.0368448905646801
40000,0.03742863982915878,0.033592939376831055
41000,0.03658897429704666,0.033477772027254105
42000,0.03737042099237442,0.03367660939693451
43000,0.035811442881822586,0.03194872662425041
44000,0.0392950177192688,0.035297852009534836
45000,0.037376824766397476,0.033796317875385284
46000,0.036345161497592926,0.032820865511894226
47000,0.03721725940704346,0.03334137797355652
48000,0.03593597188591957,0.03263223543763161
49000,0.036557286977767944,0.03315393999218941
50000,0.03493628650903702,0.03146761655807495
51000,0.03744768351316452,0.03385193273425102
52000,0.03705299645662308,0.03332305699586868
53000,0.035704098641872406,0.0322553850710392
54000,0.03343389928340912,0.02987060695886612
55000,0.031821683049201965,0.02852998860180378
56000,0.034116968512535095,0.03081229329109192
57000,0.03248598799109459,0.02865433320403099
58000,0.033777546137571335,0.030348392203450203
59000,0.03230053186416626,0.02882102131843567
60000,0.032000765204429626,0.028108160942792892
61000,0.032236289232969284,0.0290695708245039
62000,0.031896352767944336,0.028469061478972435
63000,0.031436823308467865,0.028144866228103638
64000,0.03320250287652016,0.02975962683558464
65000,0.032828640192747116,0.029749903827905655
66000,0.03400420397520065,0.030279478058218956
67000,0.031422439962625504,0.027953604236245155
68000,0.0323873907327652,0.02961668185889721
69000,0.03233162313699722,0.02897370047867298
70000,0.03159418702125549,0.028495077043771744
71000,0.033767618238925934,0.03018636256456375
72000,0.031498879194259644,0.028629794716835022
73000,0.03171892091631889,0.028698762878775597
74000,0.029054902493953705,0.026428619399666786
75000,0.030879776924848557,0.027511756867170334
76000,0.02879692055284977,0.025643283501267433
77000,0.03262760490179062,0.02955906093120575
78000,0.030823159962892532,0.027683226391673088
79000,0.02970481477677822,0.026846516877412796
80000,0.031255193054676056,0.027837427332997322
81000,0.03321373462677002,0.030123945325613022
82000,0.030930282548069954,0.027871238067746162
83000,0.030010152608156204,0.027052724733948708
84000,0.030260784551501274,0.026960017159581184
85000,0.029302231967449188,0.026517150923609734
86000,0.030851995572447777,0.027935167774558067
87000,0.029691297560930252,0.026213882490992546
88000,0.030802417546510696,0.028228404000401497
89000,0.029674900695681572,0.02645179070532322
90000,0.02919458970427513,0.026248592883348465
91000,0.029649576172232628,0.026891877874732018
92000,0.029646649956703186,0.026584865525364876
93000,0.029443014413118362,0.026378965005278587
94000,0.029330704361200333,0.026467951014637947
95000,0.029716895893216133,0.026578033342957497
96000,0.02622869424521923,0.023295551538467407
97000,0.028150029480457306,0.025546157732605934
98000,0.02739226631820202,0.024437034502625465
99000,0.028492800891399384,0.025668980553746223
100000,0.027923602610826492,0.024987900629639626
