stage,evidence_class,pre_stage30_results_status,env_name,seed,task_id,episode_id,eval_seed,success,return,normalized_return,steps,duration_sec,planned_path_nodes,planned_path_edges,planned_path_len,planned_edge_count,num_subgoals,subgoal_reached_count,subgoal_reach_rate,first_failed_subgoal,first_failed_edge,no_path,no_path_reason,cached_path_miss_count,path_update_count,timeout,terminated,stuck,divergence,initial_goal_dist_phi,final_goal_dist_phi,progress_norm,final_goal_threshold,way_steps,selected_subgoal_phi_dist_count,selected_subgoal_phi_dist_mean,selected_subgoal_phi_dist_min,selected_subgoal_phi_dist_p50,selected_subgoal_phi_dist_max,taxonomy_label,taxonomy_evidence
stage30_official_gas_instrumentation,OFFICIAL_GAS_EPISODE_TRACE,ARCHIVED_INTERNAL_EXPLORATION_NOT_GAS_EVIDENCE,antmaze-medium-navigate-v0,44,1,0,44,1,1.0,100.0,376,0.6684339046478271,510 316 574 69 367 285 129 71 53 169 23 320 269 2 3 33 300 323 92 524 539 922,510->316 316->574 574->69 69->367 367->285 285->129 129->71 71->53 53->169 169->23 23->320 320->269 269->2 2->3 3->33 33->300 300->323 323->92 92->524 524->539 539->922,22,21,20,1,0.045454545454545456,,,0,,0,41,0,1,0,0,60.541770935058594,5.802684307098389,0.9041540374938362,2,8,329,5.667217235072406,1.5862047672271729,5.924489974975586,7.993318557739258,UNRESOLVED,successful episode without cross-stitch evidence
stage30_official_gas_instrumentation,OFFICIAL_GAS_EPISODE_TRACE,ARCHIVED_INTERNAL_EXPLORATION_NOT_GAS_EVIDENCE,antmaze-medium-navigate-v0,44,1,1,45,1,1.0,100.0,213,0.28955745697021484,316 574 69 367 285 129 71 53 169 23 320 269 2 3 33 300 323 92 524 539 922,316->574 574->69 69->367 367->285 285->129 129->71 71->53 53->169 169->23 23->320 320->269 269->2 2->3 3->33 33->300 300->323 323->92 92->524 524->539 539->922,21,20,19,1,0.047619047619047616,,,0,,0,30,0,1,0,0,60.03584671020508,5.169886112213135,0.9138866794505567,2,8,196,5.569991960817454,1.834195852279663,5.644753932952881,7.999255180358887,UNRESOLVED,successful episode without cross-stitch evidence
