edge_id,src,dst,heldout_support_lcb,edge_action_mse,edge_action_mse_ucb,edge_policy_support_score,obs_goal_knn_distance,action_residual_score,low_support_flag,edge_ood_score,outgoing_mean_termination_bridge_coverage,incoming_mean_termination_bridge_coverage,outgoing_incompatible_fraction,incoming_incompatible_fraction,edge_proxy_score,certified_offline_binary,edge_bottleneck_score,num_unique_starts,num_unique_episodes,median_h,num_segments,num_episodes,train_num_segments,train_num_unique_starts,train_num_unique_terminations,train_num_episodes,heldout_num_segments,heldout_num_unique_starts,heldout_num_unique_terminations,heldout_num_episodes,heldout_support_binary,heldout_support_rate,num_policy_eval_samples,obs_goal_knn_distance_norm,edge_proxy_score_original,certified_offline_binary_original,support_reliability,policy_reliability,behavior_reliability,compatibility_reliability,diversity_reliability,calibrated_edge_reliability_score,calibrated_edge_risk_score,calibrated_edge_ood_score,calibrated_certified_binary,edge_proxy_score_calibrated_input,edge_ood_score_calibrated_input,certification_source,is_repair_edge,bank_edge_id,repair_support_proxy_lcb,repair_score,repair_reason,repair_support_rank,repair_diversity_rank,repair_endpoint_familiarity,direct_edge_policy_support_score
175,127,106,0.6853073044604219,0.0032108305410171,0.0485516263845903,0.9378018395024198,8.811985969543457,0.0,1.0,0.3333333333333332,0.1666666666666666,0.0010178117048346,0.8333333333333334,0.8,0.4041610980536303,True,1.181694780615308,4,3,7.5,14,3,1.0,1.0,1.0,1.0,13.0,3.0,12.0,2.0,1.0,0.9285714285714286,6.0,0.0,0.5388985881387115,True,0.6853073044604219,0.9378018395024198,0.6666666666666667,0.12398014834663765,0.06777493606138107,0.4090222321751137,0.5909777678248863,0.33333333333333326,True,0.4090222321751137,0.33333333333333326,phase4c_base,False,,,,,,,,
427,273,292,0.5747514992528577,0.0089768327117148,0.0363571654443628,0.835657320002585,8.906688690185547,0.1040649179314528,1.0,0.3680216393104842,0.356060606060606,0.1394271204047477,0.3333333333333333,0.4,0.5590825986510394,True,1.1119155647980608,43,12,8.0,132,12,45.0,19.0,17.0,6.0,87.0,24.0,23.0,6.0,1.0,0.6590909090909091,46.0,0.0,0.4933444044174055,True,0.5747514992528577,0.835657320002585,0.6319783606895157,0.3961116594017761,0.38331202046035806,0.5627414287166927,0.43725857128330725,0.36802163931048426,True,0.5627414287166927,0.36802163931048426,phase4c_base,False,,,,,,,,
546,372,390,0.5699064013154177,0.0058575022034347,0.0729427918945656,0.889451726194793,10.87969970703125,0.0433452497251078,1.0,0.5327014193582463,0.296875,0.0365534311854447,0.5,0.6,0.4557301624450169,True,0.8635553308620566,10,5,10.0,16,5,3.0,2.0,2.0,1.0,13.0,8.0,8.0,4.0,1.0,0.8125,5.0,0.5547590083496311,0.4748707795673249,True,0.5699064013154177,0.889451726194793,0.46729858064175367,0.2739003413957804,0.1758312020460358,0.4597402615855592,0.5402597384144407,0.5327014193582463,True,0.4597402615855592,0.5327014193582463,phase4c_base,False,,,,,,,,
250,208,187,0.4270961903790706,0.0026525820372626,0.0477971479435775,0.9483310386962034,8.992640495300293,0.0,1.0,0.3333333333333332,0.475,0.0194962953938238,0.4,0.5714285714285714,0.463319290966587,True,1.141922868998979,10,3,9.0,24,3,9.0,5.0,5.0,2.0,15.0,5.0,5.0,1.0,1.0,0.625,5.0,0.0,0.4714540839665383,True,0.4270961903790706,0.9483310386962034,0.6666666666666667,0.35658966648534013,0.1278772378516624,0.46821414081452456,0.5317858591854754,0.33333333333333326,True,0.46821414081452456,0.33333333333333326,phase4c_base,False,,,,,,,,
322,222,204,0.4868654966809702,0.0029535962094087,0.0562136544098663,0.9426389681763362,10.568825721740724,0.0,1.0,0.4843209995094577,0.3095238095238095,0.0280390107976314,0.5,0.8333333333333334,0.4038252860940249,True,0.9050989791035348,5,3,10.0,7,3,1.0,1.0,1.0,1.0,6.0,4.0,4.0,2.0,1.0,0.8571428571428571,4.0,0.4529629985283731,0.4628620712064872,True,0.4868654966809702,0.9426389681763362,0.5156790004905423,0.23719289629660806,0.08248081841432225,0.4075897916757159,0.5924102083242841,0.48432099950945773,True,0.4075897916757159,0.48432099950945773,phase4c_base,False,,,,,,,,
137,86,67,0.4649956625382886,0.0048909324853281,0.0415252316320848,0.906813339708464,8.86882209777832,0.0245303814622103,1.0,0.3415101271540701,0.2819672131147541,0.0250164191674966,0.6,0.6,0.4735648063279938,True,1.1216278354671452,24,7,9.0,61,7,25.0,13.0,12.0,5.0,36.0,11.0,11.0,2.0,1.0,0.5901639344262295,14.0,0.0,0.4545896174406727,True,0.4649956625382886,0.906813339708464,0.6584898728459299,0.2477836283059277,0.270460358056266,0.47585315607846146,0.5241468439215385,0.34151012715407014,True,0.47585315607846146,0.34151012715407014,phase4c_base,False,,,,,,,,
407,252,231,0.4798069406075242,0.0040795178086097,0.0375372476581157,0.9216494293769466,9.890509605407717,0.0087357005788225,1.0,0.4131944604340223,0.1468253968253968,0.0681423018105269,0.625,0.3333333333333333,0.4574955830531367,True,1.1940024538182468,19,6,9.0,63,6,25.0,9.0,10.0,3.0,38.0,10.0,10.0,3.0,1.0,0.6031746031746031,14.0,0.2308476807232444,0.4485949288762838,True,0.4798069406075242,0.9216494293769466,0.5868055395659777,0.2366034055540448,0.23529411764705882,0.4601477001742523,0.5398522998257477,0.4131944604340223,True,0.4601477001742523,0.4131944604340223,phase4c_base,False,,,,,,,,
441,293,272,0.4659835342166253,0.006943252564977,0.0341631386031986,0.8703454725240792,9.651592254638672,0.0644800418007695,1.0,0.4056979958394708,0.2522935779816513,0.0238054677268544,0.5,0.6666666666666666,0.460202483046998,True,0.680761705411858,34,6,8.0,109,6,48.0,17.0,11.0,3.0,61.0,17.0,14.0,3.0,1.0,0.5596330275229358,36.0,0.1526139457176428,0.4345371604307775,True,0.4659835342166253,0.8703454725240792,0.5943020041605291,0.23983459826014544,0.2851662404092072,0.4621076125651283,0.5378923874348718,0.40569799583947086,True,0.4621076125651283,0.40569799583947086,phase4c_base,False,,,,,,,,
152,106,146,0.3755282641185388,0.0012500604110149,0.0412593596423805,0.975308733639812,8.461675643920898,0.0,1.0,0.3333333333333332,0.1714285714285714,0.0165755571864888,0.7142857142857143,0.4,0.3757141660865862,True,1.2918859947622392,4,3,10.0,5,3,1.0,1.0,1.0,1.0,4.0,3.0,3.0,2.0,1.0,0.8,3.0,0.0,0.4282710052675318,True,0.3755282641185388,0.975308733639812,0.6666666666666667,0.20403305031760463,0.06777493606138107,0.3802331486444915,0.6197668513555086,0.33333333333333326,True,0.3802331486444915,0.33333333333333326,phase4c_base,False,,,,,,,,
73,27,46,0.4333332433899832,0.0077640754683732,0.0302481460326799,0.8561741225199198,8.905067443847656,0.0804578595466252,1.0,0.3601526198488751,0.2063142437591777,0.100104512561576,0.5,0.375,0.4965005547073476,True,1.2483050882681392,70,16,8.0,227,16,114.0,42.0,41.0,12.0,113.0,28.0,23.0,4.0,1.0,0.4977973568281938,59.0,0.0,0.424812147759157,True,0.4333332433899832,0.8561741225199198,0.6398473801511249,0.2935647717543983,0.46547314578005117,0.5001549273076004,0.49984507269239964,0.36015261984887514,True,0.5001549273076004,0.36015261984887514,phase4c_base,False,,,,,,,,
437,292,273,0.46138519294934,0.0057874641031958,0.0330106907664926,0.8906985093973367,10.444758415222168,0.04198191544648,1.0,0.4847729818046026,0.2,0.0150011804246408,0.4,0.5714285714285714,0.44104865903483,True,1.1119155647980608,25,6,8.0,110,6,49.0,13.0,19.0,4.0,61.0,12.0,13.0,2.0,1.0,0.5545454545454546,30.0,0.4123370299673279,0.4247864498609409,True,0.46138519294934,0.8906985093973367,0.5152270181953974,0.23512978931534614,0.2563938618925831,0.44331993418141913,0.5566800658185809,0.4847729818046026,True,0.44331993418141913,0.4847729818046026,phase4c_base,False,,,,,,,,
434,281,303,0.3006360524426366,0.0016839067102409,0.0585561144133967,0.9668826610160568,10.65827178955078,0.0,1.0,0.4940840688216703,0.5833333333333334,0.013732833957553,0.3333333333333333,0.8,0.3331096388510276,True,0.934839852702454,3,2,10.0,4,2,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,0.75,2.0,0.4822522064650112,0.4206174291287933,True,0.3006360524426366,0.9668826610160568,0.5059159311783297,0.35967254030070006,0.023017902813299233,0.33782421420090103,0.662175785799099,0.49408406882167033,True,0.33782421420090103,0.49408406882167033,phase4c_base,False,,,,,,,,
94,32,53,0.3993718014219609,0.0079641036400399,0.0317668814671857,0.8527557858282515,9.457529067993164,0.0843515297374821,1.0,0.3911397610480931,0.2424836601307189,0.1675836987019867,0.2,0.1428571428571428,0.5157168802961821,True,0.6145816993069612,85,17,8.0,306,17,167.0,49.0,53.0,12.0,139.0,36.0,29.0,5.0,1.0,0.4542483660130719,54.0,0.0890677534067975,0.417468216095721,True,0.3993718014219609,0.8527557858282515,0.6088602389519069,0.41217114001257266,0.4913682864450128,0.5195626282826797,0.48043737171732026,0.3911397610480931,True,0.5195626282826797,0.3911397610480931,phase4c_base,False,,,,,,,,
255,208,227,0.2818221256950916,0.004814538045875,0.0344917935320561,0.9081999086357984,10.019367218017578,0.0230433171693779,1.0,0.4320285190552102,0.274,0.4575569358178054,0.4,0.4285714285714285,0.445907242373245,True,0.901984607927955,25,6,8.0,100,6,63.0,16.0,20.0,4.0,37.0,9.0,9.0,2.0,1.0,0.37,21.0,0.2730422399962528,0.4151416645450356,True,0.2818221256950916,0.9081999086357984,0.5679714809447898,0.4628624785624006,0.2563938618925831,0.44820353784210043,0.5517964621578996,0.4320285190552102,True,0.44820353784210043,0.4320285190552102,phase4c_base,False,,,,,,,,
