dataset,seed,scenario,method,eval_csv,overall_episode_success,overall_episode_length,overall_episode_normalized_return,task1_success,task1_length,task2_success,task2_length,task3_success,task3_length,task4_success,task4_length,task5_success,task5_length,mean_path_edges,mean_path_cost,mean_unsupported_edge_fraction,mean_same_traj_support,delta_success_vs_original,delta_length_vs_original,delta_unsupported_fraction_vs_original
antmaze-giant-navigate-v0,0,all_tasks_ep20,original,/mnt/project/BARS/runs_stage36_gas_support_patch/antmaze-giant-navigate-v0/seed0/eval/original_ep20_eval.csv,0.76,763.0200000000001,76.0,0.45,936.1,1.0,718.7,0.75,819.7,0.8,753.15,0.8,587.45,24.11786492374728,142.57486564131344,0.6936879768605592,6.925731260119877,0.0,0.0,0.0
antmaze-giant-navigate-v0,0,all_tasks_ep20,hybrid_w0p25_forward,/mnt/project/BARS/runs_stage36_gas_support_patch/antmaze-giant-navigate-v0/seed0/eval/hybrid_w0p25_forward_ep20_eval.csv,0.75,751.9799999999999,75.0,0.5,957.2,0.85,741.55,0.85,780.2,0.65,781.25,0.9,499.7,24.283006535947717,146.4501206331081,0.5549640574530056,11.030751649641562,-0.010000000000000009,-11.040000000000191,-0.13872391940755358
