dataset,phase2_run,method,final_val_action_mse,best_val_action_mse,bottleneck_edge_val_mse,non_bottleneck_edge_val_mse,high_support_edge_val_mse,low_support_edge_val_mse,short_horizon_edge_val_mse,long_horizon_edge_val_mse,rare_edge_mean_mse,overall_to_rare_gap,sampling_mode,loss_weight_mode,loss_weight_strength,loss_weight_min,loss_weight_max,final_val_action_mse_std,best_val_action_mse_std,bottleneck_edge_val_mse_std,non_bottleneck_edge_val_mse_std,high_support_edge_val_mse_std,low_support_edge_val_mse_std,short_horizon_edge_val_mse_std,long_horizon_edge_val_mse_std,rare_edge_mean_mse_std,overall_to_rare_gap_std,num_seeds
scene-play-v0,core_plus_bottleneck_budget192_H5,loss_bottleneck_s03,0.008322495297761634,0.008322495297761634,0.009216854488138606,0.008703223246821424,0.008054616716275893,0.00988574098963579,0.009011770080343094,0.008496282641158575,0.009199626039644325,0.0008771307418826901,uniform_transition,bottleneck,0.3,0.7,1.8,0.00020769538241438568,0.00020769538241438568,0.00036971949492727333,0.000858816308799441,0.0007023665062811514,0.00022547739153996578,0.00018745116852465597,0.0007494986737913952,5.143392910805138e-05,0.00015626145330633386,2
scene-play-v0,core_plus_bottleneck_budget192_H5,loss_support_bottleneck_s03,0.008177034353138879,0.008177034353138879,0.009035037111997848,0.008457269591263871,0.00794430099520468,0.009566448632733909,0.008773875047136203,0.008513653689947958,0.009038379811559905,0.0008613454584210254,uniform_transition,support_bottleneck,0.3,0.7,1.8,2.0936568034812808e-05,2.0936568034812808e-05,0.0004891287287724592,0.0006285077745128236,0.0005570342378868021,0.00043052193338028724,7.961876415944064e-06,0.0006157557968007425,0.00010129828845066883,0.0001222348564854812,2
scene-play-v0,core_plus_bottleneck_budget192_H5,loss_support_s03,0.008232834748923779,0.008232834748923779,0.009216909484570095,0.008543398067935231,0.00789019562989654,0.009893047821196044,0.008889471395979088,0.008834949432245057,0.0093149689126704,0.0010821341637466207,uniform_transition,support,0.3,0.7,1.8,0.00021799409296363592,0.00021799409296363592,0.000270710216589263,0.0008465530708032206,0.0006406516396408586,7.4788331406075e-05,0.00024431062998255156,0.0006506655772261258,0.00010172234307692998,0.00011627174988670594,2
scene-play-v0,core_plus_bottleneck_budget192_H5,uniform_transition_none,0.00804584543220695,0.00804584543220695,0.00927511587593955,0.008913282080986299,0.0079187968590759,0.01031299851042975,0.0090628338798252,0.0092719546667956,0.009620023017721635,0.001574177585514684,uniform_transition,none,0.0,1.0,1.0,3.3921678550550075e-05,3.3921678550550075e-05,5.9401151104150184e-05,0.00010019837857770013,0.00030440820018270065,0.00049223945994835,0.0002762422716483994,0.0018021954898211,0.00041685162625619944,0.00045077330480674995,2
