dataset,phase2_run,method,baseline_method,num_seeds,sampling_mode,loss_weight_mode,loss_weight_strength,final_val_action_mse,final_val_action_mse_baseline,final_val_action_mse_delta_vs_baseline,final_val_action_mse_ratio_vs_baseline,rare_edge_mean_mse,rare_edge_mean_mse_baseline,rare_edge_mean_mse_delta_vs_baseline,rare_edge_mean_mse_ratio_vs_baseline,bottleneck_edge_val_mse,bottleneck_edge_val_mse_baseline,bottleneck_edge_val_mse_delta_vs_baseline,bottleneck_edge_val_mse_ratio_vs_baseline,low_support_edge_val_mse,low_support_edge_val_mse_baseline,low_support_edge_val_mse_delta_vs_baseline,low_support_edge_val_mse_ratio_vs_baseline,long_horizon_edge_val_mse,long_horizon_edge_val_mse_baseline,long_horizon_edge_val_mse_delta_vs_baseline,long_horizon_edge_val_mse_ratio_vs_baseline
scene-play-v0,core_plus_bottleneck_budget192_H5,loss_bottleneck_s03,uniform_transition_none,2,uniform_transition,bottleneck,0.3,0.008322495297761634,0.00804584543220695,0.0002766498655546838,1.034384188446782,0.009199626039644325,0.009620023017721635,-0.0004203969780773101,0.9562997949897967,0.009216854488138606,0.00927511587593955,-5.826138780094456e-05,0.993718527231333,0.00988574098963579,0.01031299851042975,-0.00042725752079396037,0.9585709703766693,0.008496282641158575,0.0092719546667956,-0.0007756720256370253,0.9163421248795753
scene-play-v0,core_plus_bottleneck_budget192_H5,loss_support_bottleneck_s03,uniform_transition_none,2,uniform_transition,support_bottleneck,0.3,0.008177034353138879,0.00804584543220695,0.00013118892093192877,1.0163051753898713,0.009038379811559905,0.009620023017721635,-0.0005816432061617298,0.9395382729240617,0.009035037111997848,0.00927511587593955,-0.00024007876394170277,0.9741158205295863,0.009566448632733909,0.01031299851042975,-0.0007465498776958422,0.9276107839111156,0.008513653689947958,0.0092719546667956,-0.0007583009768476427,0.9182156293792889
scene-play-v0,core_plus_bottleneck_budget192_H5,loss_support_s03,uniform_transition_none,2,uniform_transition,support,0.3,0.008232834748923779,0.00804584543220695,0.00018698931671682836,1.0232404808534257,0.0093149689126704,0.009620023017721635,-0.00030505410505123585,0.9682896699426522,0.009216909484570095,0.00927511587593955,-5.820639136945582e-05,0.9937244566916464,0.009893047821196044,0.01031299851042975,-0.0004199506892337071,0.9592794773693604,0.008834949432245057,0.0092719546667956,-0.0004370052345505429,0.9528680574641364
scene-play-v0,core_plus_bottleneck_budget192_H5,uniform_transition_none,uniform_transition_none,2,uniform_transition,none,0.0,0.00804584543220695,0.00804584543220695,0.0,1.0,0.009620023017721635,0.009620023017721635,0.0,1.0,0.00927511587593955,0.00927511587593955,0.0,1.0,0.01031299851042975,0.01031299851042975,0.0,1.0,0.0092719546667956,0.0092719546667956,0.0,1.0
