edge_id,bank_edge_id,src,dst,repair_score,repair_reason,edge_action_mse,num_policy_eval_samples,edge_action_mse_ucb,direct_edge_policy_support_score,transfer_edge_policy_support_score,transfer_edge_proxy_score
1897,5685,412,474,4.373011274488849,low_compatibility_junction,0.005057844277692238,137,0.016966932562487796,0.9037912299750661,0.2505158290517718,0.0
1898,6539,474,471,4.340259815042824,low_compatibility_junction,0.005144463317379437,159,0.016293248478387777,0.9022268748273472,0.2505158290517718,0.0
1899,3138,232,474,4.328017198354368,low_compatibility_junction,0.011163276959627915,77,0.034762981109244626,0.799902415649496,0.2505158290517718,0.0
1900,5850,424,474,4.306025846475144,low_compatibility_junction,0.03181403521115759,70,0.07359865262460685,0.52925723211518,0.2505158290517718,0.0
1901,5901,427,474,4.300755448270508,low_compatibility_junction,0.006760327612331214,96,0.023207995429384204,0.8735354623403145,0.2505158290517718,0.0
1902,17,0,474,4.286955866564938,low_compatibility_junction,0.00691529706120491,50,0.029965592152732385,0.8708322275090111,0.2505158290517718,0.0
1903,5303,384,474,4.28689769530779,low_compatibility_junction,0.015576255273145552,65,0.04591732727320107,0.7323292248103875,0.2505158290517718,0.0
1904,2507,181,474,4.270670867119457,low_compatibility_junction,0.009194870986643114,49,0.036044040160992254,0.8320211484009294,0.2505158290517718,0.0
1905,5916,428,474,4.260910015694648,low_compatibility_junction,0.023368589359813847,37,0.0726259863580809,0.6266470677412677,0.2505158290517718,0.0
1906,5875,425,474,4.245534110639627,low_compatibility_junction,0.004459389943319062,30,0.0283558278970215,0.9146737827443874,0.2505158290517718,0.0
1907,6527,474,232,4.241920594305127,low_compatibility_junction,0.026663058903068304,28,0.08714588027824037,0.5866885506547383,0.2505158290517718,0.0
1908,4617,331,474,4.239544040550339,low_compatibility_junction,0.03619580913634438,35,0.09922637323666922,0.4848497728501042,0.2505158290517718,0.0
1909,6538,474,428,4.232700753707026,low_compatibility_junction,0.029070841730572283,8,0.14722251628079103,0.5591056448911235,0.2505158290517718,0.0
1910,3936,284,474,4.226482518504053,low_compatibility_junction,0.037977856531506406,20,0.12338737990315243,0.46787358801499535,0.2505158290517718,0.0
1911,1940,145,474,4.211165895846417,low_compatibility_junction,0.03130207774634271,23,0.10360881021006589,0.5347042145757991,0.2505158290517718,0.0
1912,6537,474,424,4.207776750890882,low_compatibility_junction,0.010985840734792873,20,0.05692232175303169,0.80274609167396,0.2505158290517718,0.0
1913,5553,404,421,3.8966203680592577,low_compatibility_junction,0.0216244730502354,358,0.036857539082836566,0.6488916917649017,0.0076195940568684,0.0
1914,2976,219,404,3.879667084679372,low_compatibility_junction,0.006272033769092227,252,0.01605025806323715,0.8821080936006381,0.0076195940568684,0.0
1915,5899,427,404,3.860640914244901,low_compatibility_junction,0.005901299326415111,221,0.016029534018327754,0.8886729587895595,0.0076195940568684,0.0
1916,5547,404,345,3.8449903533175154,low_compatibility_junction,0.02324822419368237,103,0.05269463397738948,0.6281574145115713,0.0076195940568684,0.0
1917,307,18,404,3.840811816864981,low_compatibility_junction,0.007389898252949933,80,0.026227703701214224,0.8626053737640631,0.0076195940568684,0.0
1918,5539,404,242,3.8196285216251056,low_compatibility_junction,0.031131485108364974,127,0.06181846369957594,0.5365316623444647,0.0076195940568684,0.0
1919,15,0,404,3.815493959042113,low_compatibility_junction,0.004184528594263471,78,0.0185404819951256,0.9197157979956841,0.0076195940568684,0.0
1920,5557,404,482,3.805389081624957,low_compatibility_junction,0.02561782409351221,95,0.05780370413554903,0.5990821878367851,0.0076195940568684,0.0
1921,2054,153,404,3.803042043979397,low_compatibility_junction,0.0036007959973968326,31,0.024724714487444625,0.9305160819257094,0.0076195940568684,0.0
1922,5146,372,404,3.80148468256158,low_compatibility_junction,0.010446942351769567,63,0.035686421926108255,0.8114448563847526,0.0076195940568684,0.0
1923,5533,404,119,3.801153387823113,low_compatibility_junction,0.0331306682084687,20,0.11290371346488767,0.5155023771593693,0.0076195940568684,0.0
1924,5528,404,18,3.800118053987093,low_compatibility_junction,0.017024790016876068,64,0.048992164334498496,0.7114175142648598,0.0076195940568684,0.0
1925,5542,404,308,3.791789249460494,low_compatibility_junction,0.02364150563516887,84,0.05652318530204502,0.6232359420536984,0.0076195940568684,0.0
1926,936,69,404,3.78616630121764,low_compatibility_junction,0.004743978381156921,35,0.02756280979549065,0.9094824590072009,0.0076195940568684,0.0
1927,895,66,404,3.7813373003775688,low_compatibility_junction,0.012866737623203625,94,0.03579791570516413,0.7731093701769374,0.0076195940568684,0.0
1928,5554,404,425,3.7796651527554768,low_compatibility_junction,0.012938598860901864,55,0.04300063211459568,0.7719990363433592,0.0076195940568684,0.0
1929,4661,334,404,3.778328314126648,low_compatibility_junction,0.008046569508643677,13,0.05680949791222435,0.8513504801126769,0.0076195940568684,0.0
1930,2397,174,404,3.776860604790568,low_compatibility_junction,0.010751444391697052,69,0.035217554870451126,0.8065181412786654,0.0076195940568684,0.0
1931,5795,421,404,3.758674734825908,low_compatibility_junction,0.0058973655686713755,27,0.03486434521703034,0.8887428780226424,0.0076195940568684,0.0
1932,5548,404,372,3.736942926877937,low_compatibility_junction,0.016614284350637446,37,0.05814754512207636,0.71728237532131,0.0076195940568684,0.0
1933,5526,404,0,3.7329906575999474,low_compatibility_junction,0.03346025726971896,37,0.09240157584908558,0.5121154733963337,0.0076195940568684,0.0
1934,5546,404,334,3.7192396176667226,low_compatibility_junction,0.029241986885859536,29,0.09148068668299983,0.5571951520240899,0.0076195940568684,0.0
1935,1705,130,151,3.71674316971508,low_compatibility_junction,0.008137529385875855,495,0.016084466142621726,0.8498031133193086,0.0041928358816501,0.0
1936,5538,404,232,3.692842371810956,low_compatibility_junction,0.0198129839108636,30,0.07018280258301873,0.6728319534477644,0.0076195940568684,0.0
1937,2023,151,231,3.689640883823541,low_compatibility_junction,0.02307308708060691,271,0.041158327166449876,0.6303615460329985,0.0041928358816501,0.0
1938,5534,404,153,3.683991024639061,low_compatibility_junction,0.028099185861647127,25,0.09380940802109614,0.5700770697345734,0.0076195940568684,0.0
1939,5469,397,404,3.66449761726321,low_compatibility_junction,0.0074291311455174135,13,0.05428385770178977,0.861928789163346,0.0076195940568684,0.0
1940,3037,226,404,3.6605868754402815,low_compatibility_junction,0.008083666240474066,13,0.05695887013885274,0.8507190679658237,0.0076195940568684,0.0
1941,6670,482,404,3.64493278522712,low_compatibility_junction,0.024411062500439583,15,0.10347961406665487,0.6137170731126814,0.0076195940568684,0.0
1942,2028,151,343,3.6346570517830856,low_compatibility_junction,0.005289340822413136,74,0.021860045884718814,0.8996164110565513,0.0041928358816501,0.0
1943,2142,157,470,3.617030656667698,low_compatibility_junction,0.01211306853762998,553,0.021286262847201545,0.7848510136409607,0.1423067515688872,0.0
1944,2031,151,394,3.608145792937843,low_compatibility_junction,0.018358886551332512,76,0.04882187068471171,0.6926865222166022,0.0041928358816501,0.0
1945,2034,151,510,3.591444449701108,low_compatibility_junction,0.006273797034817558,113,0.0208781419722908,0.8820769863297955,0.0041928358816501,0.0
1946,4647,333,455,3.583265546174981,low_compatibility_junction,0.005761470517981272,399,0.013209412680810158,0.891161678733311,0.3505709040386648,0.0
1947,6293,455,198,3.579677590614958,low_compatibility_junction,0.005265146921861025,71,0.022143580705009602,0.9000518209903852,0.3505709040386648,0.0
1948,2032,151,435,3.5637740179528232,low_compatibility_junction,0.023562365447148858,42,0.06998618504692489,0.6242231833449029,0.0041928358816501,0.0
1949,2113,157,25,3.5635597133813093,low_compatibility_junction,0.006886182820580555,346,0.015630125385060915,0.8713394475482453,0.1423067515688872,0.0
1950,4205,302,74,3.5607912887366915,low_compatibility_junction,0.005106966678742102,171,0.015818201200898246,0.9029037380984856,0.6858309755943606,0.0
1951,2030,151,391,3.551232530177197,low_compatibility_junction,0.011411201547492634,11,0.07453969379281694,0.7959459233385153,0.0041928358816501,0.0
1952,5423,394,151,3.5464131632926685,low_compatibility_junction,0.004642783506442943,31,0.028629148664490553,0.9113250222276663,0.0041928358816501,0.0
1953,5837,424,157,3.544054550559132,low_compatibility_junction,0.04143129306701403,131,0.07628786455540779,0.43664889037862026,0.1423067515688872,0.0
1954,2015,151,48,3.543931178113701,low_compatibility_junction,0.021059157512219692,54,0.05976528189577486,0.6562698944099871,0.0041928358816501,0.0
1955,5628,409,74,3.535141197687864,low_compatibility_junction,0.005292261604783841,78,0.02143694088268774,0.8995638609163653,0.6858309755943606,0.0
1956,4538,327,151,3.535023745138494,low_compatibility_junction,0.0170242332905117,36,0.05964670213319222,0.7114254356066851,0.0041928358816501,0.0
1957,2115,157,55,3.52557365579629,low_compatibility_junction,0.018633059424159694,126,0.042467934679618215,0.6888986000875897,0.1423067515688872,0.0
1958,3031,226,259,3.523985239686408,low_compatibility_junction,0.021600528997823415,41,0.06658849275346573,0.649202508114538,0.0,0.0
1959,685,48,151,3.523045342005887,low_compatibility_junction,0.004807913488052277,22,0.03378288737281706,0.9083202450635659,0.0041928358816501,0.0
1960,4749,343,151,3.515773054791733,low_compatibility_junction,0.045343229583905714,19,0.14109250490603137,0.4037882824695442,0.0041928358816501,0.0
1961,2699,199,278,3.5133535829318827,low_compatibility_junction,0.006109462606274822,469,0.013183561967043247,0.8849808681429078,0.3923680617855888,0.0
1962,2027,151,327,3.5107872618033578,low_compatibility_junction,0.1237893067175589,28,0.25411157220450126,0.0840968528394254,0.0041928358816501,0.0
1963,973,74,306,3.5052627911688097,low_compatibility_junction,0.006152012965606485,138,0.019238562374261654,0.884228063430628,0.6858309755943606,0.0
1964,4041,292,157,3.496107747126853,low_compatibility_junction,0.023573304653041305,128,0.05017206037392799,0.6240866281649909,0.1423067515688872,0.0
1965,6304,455,422,3.494260205920225,low_compatibility_junction,0.005209642404224724,40,0.02757779066244544,0.9010515146062792,0.3505709040386648,0.0
1966,4015,291,157,3.4912942480046323,low_compatibility_junction,0.005121930048736776,29,0.031169900699208462,0.9026335688728679,0.1423067515688872,0.0
1967,2140,157,441,3.4877299212434028,low_compatibility_junction,0.017754096462023118,86,0.045915619149884485,0.7011159989541521,0.1423067515688872,0.0
1968,975,74,354,3.486670866803576,low_compatibility_junction,0.006605905169885982,109,0.021864304962328173,0.8762375023418357,0.6858309755943606,0.0
1969,874,64,157,3.482392877092799,low_compatibility_junction,0.02518069843606636,83,0.059319707518175696,0.6043426329914142,0.1423067515688872,0.0
1970,2136,157,428,3.4817817608047044,low_compatibility_junction,0.023982915017122942,93,0.05545790360761846,0.6189948660074867,0.1423067515688872,0.0
1971,2645,195,74,3.480740028337176,low_compatibility_junction,0.006416827176277801,71,0.025050010993339384,0.8795573200076413,0.6858309755943606,0.0
1972,2132,157,376,3.4754789810320443,low_compatibility_junction,0.005471727552620934,62,0.023884638768776008,0.8963408270061856,0.1423067515688872,0.0
1973,2705,199,372,3.4734648089090787,low_compatibility_junction,0.013886269049180555,160,0.032145768491137476,0.7575048181811871,0.3923680617855888,0.0
1974,6303,455,418,3.471212466096723,low_compatibility_junction,0.00738161428843772,38,0.03469905110010685,0.8627483014499011,0.3505709040386648,0.0
1975,6114,441,157,3.468017916550626,low_compatibility_junction,0.028717963821905227,102,0.0616056112166206,0.5630655226021476,0.1423067515688872,0.0
1976,2138,157,436,3.4674348743365,low_compatibility_junction,0.005495503882214554,59,0.024411700741670345,0.8959146944342781,0.1423067515688872,0.0
1977,3747,271,14,3.465737208550108,low_compatibility_junction,0.009562307558545811,234,0.022091685125249408,0.8259292596730865,0.5184346706611771,0.0
1978,3695,267,157,3.4586712752555093,low_compatibility_junction,0.034259201514280656,99,0.0707200769805981,0.5039974702414273,0.1423067515688872,0.0
1979,709,51,199,3.455992936573161,low_compatibility_junction,0.004147266545124463,134,0.015051236505357191,0.9204014633620927,0.3923680617855888,0.0
1980,2135,157,424,3.454064815568026,low_compatibility_junction,0.05541379066348514,51,0.12002084093936363,0.33012767240409907,0.1423067515688872,0.0
1981,5803,422,199,3.4504305277581504,low_compatibility_junction,0.008139973797369748,117,0.024488350788869604,0.849761568964877,0.3923680617855888,0.0
1982,6298,455,302,3.4490740285686963,low_compatibility_junction,0.006321087506049397,22,0.03954422413430849,0.8812431040119101,0.3505709040386648,0.0
1983,3262,242,383,3.4472457299339108,low_compatibility_junction,0.0066945820302800165,758,0.012519411325288957,0.8746848397878805,0.5557987561240778,0.0
1984,6315,457,271,3.4449204538628093,low_compatibility_junction,0.006531302804077257,537,0.013366779987713627,0.8775458659830422,0.5184346706611771,0.0
1985,6789,492,157,3.444213978155581,low_compatibility_junction,0.022031766888513056,54,0.06162161680330995,0.6436273703758452,0.1423067515688872,0.0
1986,4092,295,151,3.4438484186163008,low_compatibility_junction,0.03302866449978735,7,0.16766198532893162,0.5165551137106649,0.0041928358816501,0.0
1987,4586,330,259,3.440334894454516,low_compatibility_junction,0.0831688605846458,226,0.12076837425724295,0.18949792361567297,0.0,0.0
1988,75,5,157,3.438408547178493,low_compatibility_junction,0.021292262573536534,76,0.05409878388900584,0.6532174187345875,0.1423067515688872,0.0
1989,2119,157,82,3.4348769435133883,low_compatibility_junction,0.006988641345658554,65,0.027312013489186725,0.8695557526271512,0.1423067515688872,0.0
1990,3756,271,136,3.433825338281008,low_compatibility_junction,0.004142495893377244,23,0.030446580734030067,0.9204892858487177,0.5184346706611771,0.0
1991,6296,455,250,3.4320287691489724,low_compatibility_junction,0.004406920226756483,27,0.029447350307600116,0.9156341400355613,0.3505709040386648,0.0
1992,528,36,157,3.4319367484275087,low_compatibility_junction,0.008254464468027049,47,0.034229227465480704,0.8478179995811249,0.1423067515688872,0.0
1993,3612,260,157,3.431365206309045,low_compatibility_junction,0.018901669361035933,55,0.05523663949809551,0.6852076231058125,0.1423067515688872,0.0
1994,4892,354,74,3.4305373189764685,low_compatibility_junction,0.005249156643112656,50,0.02533156693679084,0.900339708612077,0.6858309755943606,0.0
1995,2141,157,443,3.429744641870713,low_compatibility_junction,0.007003942635847346,41,0.03262136526561203,0.8692896868425999,0.1423067515688872,0.0
1996,1094,82,271,3.4286647869643767,low_compatibility_junction,0.007474315893688401,558,0.014647710077534286,0.8611502203051165,0.5184346706611771,0.0
1997,6302,455,409,3.420873239546214,low_compatibility_junction,0.004999053903988429,35,0.02842331817208808,0.9048545394593906,0.3505709040386648,0.0
1998,2116,157,64,3.420172599620239,low_compatibility_junction,0.016088642568017047,39,0.05589784434197052,0.7248628232353622,0.1423067515688872,0.0
1999,962,74,75,3.4175504658920977,low_compatibility_junction,0.006067055771172118,52,0.02723815429038658,0.885731771287041,0.6858309755943606,0.0
2000,6162,444,157,3.41452636216759,low_compatibility_junction,0.010166123337470568,65,0.03467802920858268,0.8160150612701874,0.1423067515688872,0.0
2001,3777,271,442,3.4127780195048785,low_compatibility_junction,0.012582976016282443,564,0.021840784744819007,0.777509419160964,0.5184346706611771,0.0
2002,2715,199,482,3.412063045676116,low_compatibility_junction,0.021583326935583232,68,0.05650224746749219,0.6494258989791915,0.3923680617855888,0.0
2003,5141,372,199,3.410432512909223,low_compatibility_junction,0.00466688355896622,25,0.031446203849163745,0.9108858684544293,0.3923680617855888,0.0
2004,1791,136,271,3.403922290886197,low_compatibility_junction,0.018036595224087144,59,0.05230606184658845,0.6971658804626745,0.5184346706611771,0.0
2005,5520,402,425,3.4028261759455725,low_compatibility_junction,0.009334069645542052,454,0.01822124324101721,0.8297080451429609,0.3198123057305044,0.0
2006,3755,271,104,3.400335984542889,low_compatibility_junction,0.011757845702293785,470,0.021561116981097223,0.7904468076903847,0.5184346706611771,0.0
2007,1391,106,259,3.3988988913961293,low_compatibility_junction,0.037068403501633644,281,0.059579925177347656,0.4764616365544271,0.0,0.0
2008,3767,271,269,3.396357928192341,low_compatibility_junction,0.011807900930377247,423,0.022163428709731467,0.7896558837502871,0.5184346706611771,0.0
2009,5274,383,198,3.395146393762692,low_compatibility_junction,0.006953028234701269,259,0.017108338249270078,0.8701753249599774,0.5557987561240778,0.0
