baseline,node_selection,H,node_budget,num_edges,unsupported_edge_rate,path_coverage_strict,path_coverage_virtual,mean_path_cost_strict,mean_path_cost_virtual,hop_count_cost,num_queries_strict,num_reachable_strict,num_queries_virtual,num_reachable_virtual
support_core_plus_bottleneck,core_plus_bottleneck,5,120,398,0.0,0.46258503401360546,0.376,35.215451372037464,37.497027699651134,,294,136,500.0,188.0
kNN_same_nodes,core_plus_bottleneck,5,120,398,0.44221105527638194,0.3435374149659864,,,,4.920792079207921,294,101,,
kNN_geometry_same_nodes,core_plus_bottleneck,5,120,398,0.4045226130653266,0.38095238095238093,,,,5.508928571428571,294,112,,
grid_adjacent_same_nodes,core_plus_bottleneck,5,120,262,0.0,0.4387755102040816,,,,10.248062015503876,294,129,,
random_same_edge_budget,core_plus_bottleneck,5,120,398,0.9798994974874372,0.8979591836734694,,,,3.928030303030303,294,264,,
support_all_upper_bound,all,5,120,1141,0.0,0.992,0.996,34.192191891801706,35.73335953804925,,500,496,500.0,498.0
kNN_same_nodes,all,5,120,1141,0.5451358457493427,0.34,,,,4.4,500,170,,
kNN_geometry_same_nodes,all,5,120,1141,0.5398773006134969,0.34,,,,4.682352941176471,500,170,,
grid_adjacent_same_nodes,all,5,120,824,0.06674757281553398,1.0,,,,9.634,500,500,,
random_same_edge_budget,all,5,120,1141,0.9798422436459246,0.982,,,,3.928716904276986,500,491,,
support_density,density,10,40,64,0.0,0.14,0.06,57.697176151136624,54.02993366266678,,50,7,500.0,30.0
kNN_same_nodes,density,10,40,64,0.28125,0.18,,,,4.777777777777778,50,9,,
kNN_geometry_same_nodes,density,10,40,64,0.171875,0.18,,,,6.111111111111111,50,9,,
grid_adjacent_same_nodes,density,10,40,30,0.0,0.0,,,,0.0,50,0,,
random_same_edge_budget,density,10,40,64,1.0,0.34,,,,4.294117647058823,50,17,,
support_bottleneck,bottleneck,10,40,124,0.0,0.7368421052631579,0.26,43.976693250710824,54.871737398147964,,19,14,500.0,130.0
kNN_same_nodes,bottleneck,10,40,124,0.08064516129032258,0.6842105263157895,,,,5.076923076923077,19,13,,
kNN_geometry_same_nodes,bottleneck,10,40,117,0.08547008547008547,0.6842105263157895,,,,5.153846153846154,19,13,,
grid_adjacent_same_nodes,bottleneck,10,40,50,0.0,0.0,,,,0.0,19,0,,
random_same_edge_budget,bottleneck,10,40,124,0.9032258064516129,0.8947368421052632,,,,2.8823529411764706,19,17,,
support_core_plus_bottleneck,core_plus_bottleneck,10,40,100,0.0,0.30434782608695654,0.13,44.17837356722384,47.81185401628519,,46,14,500.0,65.0
kNN_same_nodes,core_plus_bottleneck,10,40,100,0.16,0.2608695652173913,,,,4.416666666666667,46,12,,
kNN_geometry_same_nodes,core_plus_bottleneck,10,40,100,0.09,0.30434782608695654,,,,5.357142857142857,46,14,,
grid_adjacent_same_nodes,core_plus_bottleneck,10,40,48,0.0,0.021739130434782608,,,,4.0,46,1,,
random_same_edge_budget,core_plus_bottleneck,10,40,100,0.96,0.8695652173913043,,,,3.3,46,40,,
support_all_upper_bound,all,10,40,1569,0.0,0.992,0.998,48.87267223507899,50.32242344106281,,500,496,500.0,499.0
kNN_same_nodes,all,10,40,1569,0.3352453792224347,0.534,,,,4.674157303370786,500,267,,
kNN_geometry_same_nodes,all,10,40,1569,0.3397068196303378,0.534,,,,4.752808988764045,500,267,,
grid_adjacent_same_nodes,all,10,40,824,0.05703883495145631,1.0,,,,9.634,500,500,,
random_same_edge_budget,all,10,40,1569,0.9687699171446782,0.986,,,,3.332657200811359,500,493,,
support_density,density,10,80,243,0.0,0.5761904761904761,0.44,68.39680664084486,69.15890173784818,,210,121,500.0,220.0
kNN_same_nodes,density,10,80,243,0.19753086419753085,0.38571428571428573,,,,5.518518518518518,210,81,,
kNN_geometry_same_nodes,density,10,80,243,0.1522633744855967,0.319047619047619,,,,6.358208955223881,210,67,,
grid_adjacent_same_nodes,density,10,80,116,0.0,0.0380952380952381,,,,5.75,210,8,,
random_same_edge_budget,density,10,80,243,0.9259259259259259,0.9047619047619048,,,,3.7263157894736842,210,190,,
support_bottleneck,bottleneck,10,80,333,0.0,0.9,0.592,53.86706163279093,59.32304414000237,,120,108,500.0,296.0
