edge_id,bank_edge_id,src,dst,repair_score,repair_reason,edge_action_mse,num_policy_eval_samples,edge_action_mse_ucb,direct_edge_policy_support_score,src_edge,dst_edge,is_repair_edge,num_unique_starts,num_unique_episodes,edge_bottleneck_score,median_h,num_segments,repair_reason_edge,planner_usage_count,used_by_planner,mean_endpoint_compatibility,support_group,bottleneck_group,horizon_group,compatibility_group,planner_usage_group
740,885,228,227,2.3226337636239998,low_compatibility_junction,0.08421525682140257,485,0.11004265099711111,0.18557333531629588,228,227,True,222,27,0.3779954333962453,7.0,1056,low_compatibility_junction,0.0,False,,high_support,low_bottleneck,short_horizon,unknown,not_planner_used
741,826,221,201,2.32246752417477,low_compatibility_junction,0.11874125916600922,1137,0.13877106152640284,0.0930307511162268,221,201,True,570,35,0.5931135772653867,6.0,2389,low_compatibility_junction,3.0,True,,high_support,low_bottleneck,short_horizon,unknown,planner_used
742,821,220,221,2.316919816270624,low_compatibility_junction,0.08845392460881435,1134,0.10576436423088537,0.17049002435086855,220,221,True,472,45,0.5931135772653867,7.0,2316,low_compatibility_junction,2.0,True,,high_support,low_bottleneck,short_horizon,unknown,planner_used
743,1157,301,282,2.3146688676529377,low_compatibility_junction,0.07109427253062774,281,0.10227026003684977,0.24125870642340344,301,282,True,119,22,0.752293892421816,8.0,423,low_compatibility_junction,0.0,False,,high_support,low_bottleneck,long_horizon,unknown,not_planner_used
744,1278,320,301,2.310470554783928,low_compatibility_junction,0.09129482755014877,238,0.12968240265380532,0.16107316906354513,320,301,True,107,22,0.752293892421816,8.0,401,low_compatibility_junction,0.0,False,,high_support,low_bottleneck,long_horizon,unknown,not_planner_used
745,76,10,28,2.309122440254374,low_compatibility_junction,0.05568054659912983,6,0.244493676357637,0.32837109203035547,10,28,True,7,5,0.6435638621308869,10.0,10,low_compatibility_junction,0.0,False,,low_support,low_bottleneck,long_horizon,unknown,not_planner_used
746,1042,280,301,2.3042290863359938,low_compatibility_junction,0.09267773661254482,220,0.132906107027349,0.15667922254536693,280,301,True,95,21,0.752293892421816,8.0,372,low_compatibility_junction,2.0,True,,high_support,low_bottleneck,long_horizon,unknown,planner_used
747,558,147,127,2.2997992398028937,low_compatibility_junction,0.09422272406262984,802,0.11546723389349824,0.15191190762331686,147,127,True,341,29,1.181694780615308,6.0,1686,low_compatibility_junction,0.0,False,,high_support,high_bottleneck,short_horizon,unknown,not_planner_used
748,477,127,147,2.298957567070004,low_compatibility_junction,0.09221949883838101,808,0.11315878006858399,0.15812174941552495,127,147,True,372,35,1.181694780615308,7.0,1613,low_compatibility_junction,4.0,True,,high_support,high_bottleneck,short_horizon,unknown,planner_used
749,667,201,221,2.295990854733017,low_compatibility_junction,0.10668490934958397,916,0.12783731812766463,0.11839862296160922,201,221,True,371,31,0.5931135772653867,7.0,1886,low_compatibility_junction,2.0,True,,high_support,low_bottleneck,short_horizon,unknown,planner_used
750,939,234,213,2.291120214587189,low_compatibility_junction,0.07262814338677205,52,0.14587801548361806,0.23396988517601713,234,213,True,33,8,0.4052794306819265,8.0,67,low_compatibility_junction,0.0,False,,low_support,low_bottleneck,long_horizon,unknown,not_planner_used
751,677,203,202,2.2896836865734,low_compatibility_junction,0.08418575800310873,211,0.12333597350884637,0.18568285150107314,203,202,True,93,11,0.420505443133842,7.0,404,low_compatibility_junction,0.0,False,,high_support,low_bottleneck,short_horizon,unknown,not_planner_used
752,750,211,229,2.2896406408022525,low_compatibility_junction,0.06627592444419861,5,0.2919330055849567,0.26566517893113883,211,229,True,4,4,0.6570534259161989,10.0,6,low_compatibility_junction,0.0,False,,low_support,low_bottleneck,long_horizon,unknown,not_planner_used
753,167,28,9,2.2885766676036545,low_compatibility_junction,0.1321693373953595,34,0.25437236596787277,0.07111999572350464,28,9,True,14,4,0.8979178206761399,8.0,49,low_compatibility_junction,0.0,False,,low_support,high_bottleneck,long_horizon,unknown,not_planner_used
754,1114,294,293,2.282410548059373,low_compatibility_junction,0.13157737248154902,161,0.18760906460766874,0.07196701070403139,294,293,True,56,10,0.6637254553314909,7.0,315,low_compatibility_junction,0.0,False,,low_support,low_bottleneck,short_horizon,unknown,not_planner_used
