dataset_name,H,node_selection,node_budget,mode,num_queries,num_reachable,path_coverage,mean_path_edges,mean_path_cost,median_path_cost,all_num_queries,strict_num_queries,strict_num_reachable,strict_query_selection_rate,strict_coverage_over_all,mean_num_virtual_edges_used,median_num_virtual_edges_used,mean_virtual_edge_ratio
scene-play-v0,5,bottleneck,128,strict_selected,7,5,0.7142857142857143,3.6,12.92071073813916,11.655072151038233,100,7.0,5.0,0.07,0.05,,,
scene-play-v0,5,bottleneck,128,virtual_query,100,96,0.96,3.1979166666666665,14.059372583953168,13.454124145231932,100,,,,,1.89,2.0,0.6555714285714287
