condition,top_q,removed_nodes,path_coverage,mean_path_cost,reachable_pair_ratio,average_shortest_path_length
before,0.1,,1.0,10.351615044897493,1.0,12.38443163003152
after,0.1,371 259 175 410 429 271 171,1.0,10.351615044897493,1.0,10.860161990822938
