episode_id,segment_source,segment_edge_id,edge_src,edge_dst,attempt_steps,completed,timeout,final_cluster,final_subgoal_l2,mean_selected_policy_action_mse
0,bank,1,0,20,14,0,1,21,14.012964248657227,0.06735612452030182
0,bank,117,21,41,14,0,1,20,6.25169038772583,0.09670224040746689
0,bank,109,20,40,1,1,0,40,14.182734489440918,0.06782305240631104
0,bank,227,40,60,14,0,1,40,9.069979667663574,0.03155674785375595
0,bank,228,40,61,14,0,1,40,8.927427291870117,0.016834136098623276
0,bank,226,40,41,5,1,0,41,9.356616020202637,0.0617544986307621
0,bank,234,41,61,14,0,1,41,13.167129516601562,0.05378848314285278
0,bank,233,41,60,16,0,1,41,9.734819412231445,0.053520310670137405
0,graph,102,41,81,20,0,1,61,14.311639785766602,0.11713172495365143
0,bank,318,61,81,8,0,1,60,14.14159870147705,0.08777730166912079
1,bank,117,21,41,14,0,1,21,9.60908317565918,0.09670224040746689
1,bank,114,21,20,12,0,1,41,12.964900970458984,0.04016575962305069
1,bank,234,41,61,14,0,1,41,14.231346130371094,0.08044571429491043
1,bank,233,41,60,16,0,1,41,12.122881889343262,0.03738653287291527
1,graph,102,41,81,20,0,1,41,13.835007667541504,0.11713172495365143
1,bank,235,41,81,20,0,1,80,9.608924865722656,0.11713172495365143
1,bank,366,80,101,16,0,1,80,14.455314636230469,0.07528720796108246
1,bank,365,80,100,8,0,1,80,11.86122989654541,0.026153214275836945
2,bank,1,0,20,14,0,1,0,15.282794952392578,0.06735612452030182
2,bank,2,0,21,14,0,1,0,14.200191497802734,0.09793959558010101
2,bank,0,0,1,14,0,1,0,11.523571014404297,0.03923908621072769
2,bank,1,0,20,14,0,1,0,14.823075294494629,0.06735612452030182
2,bank,2,0,21,14,0,1,0,13.494903564453125,0.09793959558010101
2,bank,0,0,1,4,1,0,1,10.919148445129395,0.03923908621072769
2,bank,5,1,3,20,0,1,2,7.86552095413208,0.037892282009124756
2,bank,15,2,23,1,1,0,23,15.449579238891602,0.10357096791267395
2,bank,126,23,4,14,0,1,23,9.275161743164062,0.3552308976650238
2,bank,125,23,3,11,0,1,4,7.703617572784424,0.019983407109975815
