segment_source,segment_edge_id,edge_src,edge_dst,attempts,completed,timeouts,success_rate,failure_excess,mean_attempt_steps,mean_final_subgoal_l2,mean_selected_policy_action_mse
bank,0,0,1,2,1,1,0.5,0,9.0,11.221359729766846,0.03923908621072769
bank,1,0,20,3,0,3,0.0,3,14.0,14.706278165181478,0.06735612452030182
bank,2,0,21,2,0,2,0.0,2,14.0,13.84754753112793,0.09793959558010101
bank,5,1,3,1,0,1,0.0,1,20.0,7.86552095413208,0.037892282009124756
bank,15,2,23,1,1,0,1.0,0,1.0,15.449579238891602,0.10357096791267395
bank,109,20,40,1,1,0,1.0,0,1.0,14.182734489440918,0.06782305240631104
bank,114,21,20,1,0,1,0.0,1,12.0,12.964900970458984,0.04016575962305069
bank,117,21,41,2,0,2,0.0,2,14.0,7.930386781692505,0.09670224040746689
bank,125,23,3,1,0,1,0.0,1,11.0,7.703617572784424,0.019983407109975815
bank,126,23,4,1,0,1,0.0,1,14.0,9.275161743164062,0.3552308976650238
bank,226,40,41,1,1,0,1.0,0,5.0,9.356616020202637,0.0617544986307621
bank,227,40,60,1,0,1,0.0,1,14.0,9.069979667663574,0.03155674785375595
bank,228,40,61,1,0,1,0.0,1,14.0,8.927427291870117,0.016834136098623276
bank,233,41,60,2,0,2,0.0,2,16.0,10.928850650787354,0.04545342177152634
bank,234,41,61,2,0,2,0.0,2,14.0,13.699237823486328,0.06711709871888161
bank,235,41,81,1,0,1,0.0,1,20.0,9.608924865722656,0.11713172495365143
bank,318,61,81,1,0,1,0.0,1,8.0,14.14159870147705,0.08777730166912079
bank,365,80,100,1,0,1,0.0,1,8.0,11.86122989654541,0.026153214275836945
bank,366,80,101,1,0,1,0.0,1,16.0,14.455314636230469,0.07528720796108246
graph,102,41,81,2,0,2,0.0,2,20.0,14.073323726654053,0.11713172495365143
