condition,top_q,removed_nodes,path_coverage,mean_path_cost,reachable_pair_ratio,average_shortest_path_length
before,0.1,,0.95,14.62478880591475,0.95,16.2653077923574
after,0.1,371 259 175 163 22 171 429 3 266 120 315 199 139 290 167 149 224 385 80 8 79 173 56 217 406 117 6 207 169 63 382 487 10 230 46 485 281 398 273 2 410 304 243 146 404 147 166 309 383 474 184 258,0.79,15.766111425720844,0.79,17.882906819067557
