step,train_action_mse
1,0.1996571272611618
1000,0.012052246369421482
2000,0.010916315019130707
3000,0.007755099330097437
4000,0.007632071617990732
5000,0.005992439109832048
6000,0.005552749149501324
7000,0.0059930323623120785
8000,0.005563732236623764
9000,0.005131759215146303
10000,0.004642217420041561
