condition,top_q,removed_nodes,path_coverage,mean_path_cost,reachable_pair_ratio,average_shortest_path_length
before,0.1,,0.23333333333333334,31.812226860105678,0.23333333333333334,19.382334972201743
after,0.1,54 207 55 166,0.03333333333333333,20.415141131411637,0.03333333333333333,10.181223519234887
