dataset_name,H,node_selection,node_budget,mode,num_queries,num_reachable,path_coverage,mean_path_edges,mean_path_cost,median_path_cost,all_num_queries,strict_num_queries,strict_num_reachable,strict_query_selection_rate,strict_coverage_over_all,mean_num_virtual_edges_used,median_num_virtual_edges_used,mean_virtual_edge_ratio
antmaze-large-stitch-v0,10,density,120,strict_selected,309,291,0.941747572815534,5.865979381443299,51.602614976432996,51.099490542591745,500,309.0,291.0,0.618,0.582,,,
antmaze-large-stitch-v0,10,density,120,virtual_query,500,422,0.844,5.886255924170616,54.32395670029595,54.06359912625781,500,,,,,1.68,2.0,0.30119090909090906
