method,num_queries,num_reachable,path_coverage,mean_path_length,mean_planning_path_cost,mean_base_path_cost,mean_edge_proxy_score,mean_min_edge_proxy_score,mean_heldout_support_lcb,mean_min_heldout_support_lcb,mean_edge_policy_support_score,mean_edge_ood_score,mean_outgoing_incompatible_fraction,mean_outgoing_termination_bridge_coverage,mean_uncertified_edge_fraction,mean_low_proxy_edge_fraction,mean_low_support_lcb_edge_fraction,mean_high_ood_edge_fraction,mean_high_incompat_edge_fraction,mean_bottleneck_edge_fraction,mean_proxy_path_success_reachable,mean_proxy_path_success_over_all,num_graph_nodes,num_graph_edges,coverage_delta_vs_support,num_common_reachable_with_support,base_cost_delta_common_vs_support,min_proxy_delta_common_vs_support,uncertified_fraction_delta_common_vs_support
support_shortest_path,500,283,0.566,5.646643109540636,50.55063453182929,50.55063453182929,0.21336905274468362,0.05951733658354987,0.13706627230241988,0.026980577364727247,0.5244934028180179,0.5295123442150399,0.37637467802329755,0.24307051702963925,0.9236836449602408,0.4840246435991116,0.1592774247029566,0.5076178451178451,0.2311907064566639,0.5515697757719035,0.00196556157923683,0.0011125078538480459,120,582,0.0,283.0,0.0,0.0,0.0
certified_only,500,0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,56,40,-0.566,0.0,,,
proxy_threshold,500,102,0.204,6.950980392156863,58.099864165285034,58.099864165285034,0.29914213225639513,0.2601038559970011,0.19473052232464616,0.0693108847492515,0.7043326251942467,0.3942489599031812,0.3116805103546236,0.2521249354330518,0.8768900629558753,0.0,0.0,0.2726442392138373,0.1540246671725996,0.6676466386134411,0.00545293852323959,0.0011123994587408767,120,337,-0.362,102.0,10.228576761466087,0.20210012947049721,-0.01669786726571809
proxy_penalized,500,283,0.566,6.095406360424028,218.1474802004539,52.574870137918865,0.2648447766477353,0.12847810667169252,0.1686926567194944,0.04539704408136421,0.6370405707586577,0.43927388900031455,0.334364390850903,0.24740880665620607,0.8739840144095463,0.33439153439153435,0.06837780029269391,0.3768771811325003,0.1620665878644602,0.536059045367556,0.002488798109675126,0.0014086597300761213,120,582,0.0,283.0,2.024235606089576,0.06896077008814264,-0.049699630550694485
