dataset_name,method,episode_id,seed,task_id,num_steps,success,total_reward,initial_goal_l2,final_goal_l2,start_cluster,goal_cluster,planned_edges,completed_edges,replans,full_bank_fallbacks,failed_edge_attempts,unique_failed_edges,failure_reason
antmaze-large-stitch-v0,policy_aware_hierarchical_corebot100k_H10_B120,0,0,1,119,0.0,0.0,44.569461822509766,40.84054946899414,0,398,178,2,9,9,8,7,max_replans_exceeded
antmaze-large-stitch-v0,policy_aware_hierarchical_corebot100k_H10_B120,1,1,2,142,0.0,0.0,15.6051025390625,14.579595565795898,132,18,244,1,9,9,8,7,max_replans_exceeded
