method,query_id,src,dst,reachable,path_length,num_adjacent_edge_pairs,planning_path_cost,base_path_cost,pair_penalty_cost,mean_edge_proxy_score,min_edge_proxy_score,mean_heldout_support_lcb,min_heldout_support_lcb,mean_edge_policy_support_score,mean_edge_ood_score,mean_pair_termination_bridge_coverage,min_pair_termination_bridge_coverage,mean_pair_bridge_matches_per_first_segment,pair_strict_compatible_rate,pair_incompatible_fraction,low_pair_coverage_fraction,missing_pair_fraction,uncertified_edge_fraction,original_uncertified_edge_fraction,high_pair_risk_fraction,proxy_path_success,path_nodes,path_edge_ids,graph_variant
support_shortest_path,45,423,254,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,base
support_shortest_path,46,147,26,True,2,1,22.82978222657524,22.82978222657524,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,147 227 26,1698 2735,base
support_shortest_path,47,97,484,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,base
support_shortest_path,48,327,458,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,base
support_shortest_path,49,385,308,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,base
support_shortest_path,50,39,73,True,4,3,16.49032150174356,16.49032150174356,29.506276150627613,0.0,0.0,0.0,0.0,0.0,1.0,0.016457461645746164,0.0,0.06527196652719665,0.3333333333333333,0.6666666666666666,1.0,0.0,1.0,1.0,1.0,0.0,39 117 10 173 73,538 1251 180 2136,base
support_shortest_path,51,366,5,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,base
support_shortest_path,52,231,355,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,base
support_shortest_path,53,67,399,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,base
support_shortest_path,54,420,267,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,base
support_shortest_path,55,394,399,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,base
support_shortest_path,56,280,494,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,base
support_shortest_path,57,389,319,True,2,1,16.921128370301314,16.921128370301314,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,389 21 319,4612 287,base
support_shortest_path,58,10,239,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,base
support_shortest_path,59,260,247,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,base
support_shortest_path,60,352,293,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,base
support_shortest_path,61,441,458,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,base
support_shortest_path,62,394,46,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,base
support_shortest_path,63,48,462,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,base
support_shortest_path,64,143,271,True,4,3,18.068567684117323,18.068567684117323,27.058823529411764,0.0,0.0,0.0,0.0,0.0,1.0,0.09803921568627451,0.0,0.29411764705882354,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,1.0,0.0,143 163 410 164 271,1611 1895 4880 1921,base
support_shortest_path,65,494,434,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,base
