edge_id,src,dst,heldout_support_lcb,edge_action_mse,edge_action_mse_ucb,edge_policy_support_score,obs_goal_knn_distance,action_residual_score,low_support_flag,edge_ood_score,outgoing_mean_termination_bridge_coverage,incoming_mean_termination_bridge_coverage,outgoing_incompatible_fraction,incoming_incompatible_fraction,edge_proxy_score,certified_offline_binary,edge_bottleneck_score,num_unique_starts,num_unique_episodes,median_h,num_segments,num_episodes,train_num_segments,train_num_unique_starts,train_num_unique_terminations,train_num_episodes,heldout_num_segments,heldout_num_unique_starts,heldout_num_unique_terminations,heldout_num_episodes,heldout_support_binary,heldout_support_rate,num_policy_eval_samples,obs_goal_knn_distance_norm,edge_proxy_score_original,certified_offline_binary_original,support_reliability,policy_reliability,behavior_reliability,compatibility_reliability,diversity_reliability,calibrated_edge_reliability_score,calibrated_edge_risk_score,calibrated_edge_ood_score,calibrated_certified_binary,edge_proxy_score_calibrated_input,edge_ood_score_calibrated_input
16,6,8,0.0053692720896517,,,0.0,10.657212257385254,1.0,1.0,0.827301753851799,0.2294372294372294,0.1425384684572488,0.5714285714285714,0.5,0.06932264606877511,False,0.4942256235210543,22,13,10.0,33,13,32,21,21,12,1,1,1,1,True,0.0303030303030303,,0.4819052615553972,-0.0433848967598713,False,0.0053692720896517,0.0,0.17269824614820095,0.2938562595843969,0.31099656357388317,0.06932264606877511,0.9306773539312249,0.827301753851799,False,0.06932264606877511,0.827301753851799
339,226,205,0.0,,,0.0,8.804195404052734,1.0,1.0,0.6666666666666666,0.2181818181818182,0.0140839012847488,0.4285714285714285,0.3333333333333333,0.07791558949362304,False,0.5395771851089068,34,10,7.0,110,10,110,34,31,10,0,0,0,0,False,0.0,,0.0,-0.0434400947200099,False,0.0,0.0,0.33333333333333337,0.26812640733631643,0.322594501718213,0.07791558949362304,0.922084410506377,0.6666666666666666,False,0.07791558949362304,0.6666666666666666
406,241,281,0.0300525858717302,,,0.0,10.131104469299316,1.0,1.0,0.7698769063818659,0.1388888888888889,0.0700715519368369,0.8333333333333334,0.6,0.06640349775784732,False,1.1119894608452026,5,4,10.0,6,4,5,4,4,3,1,1,1,1,True,0.1666666666666666,,0.3096307191455976,-0.0440706122069219,False,0.0300525858717302,0.0,0.2301230936181341,0.17205443649315708,0.0979381443298969,0.06640349775784732,0.9335965022421526,0.7698769063818659,False,0.06640349775784732,0.7698769063818659
136,86,46,0.0,,,0.0,9.161992073059082,1.0,1.0,0.6666666666666666,0.2,0.0179502026635784,0.5,0.8,0.06182224692933998,False,1.1664980998843535,4,3,10.0,5,3,5,4,4,3,0,0,0,0,False,0.0,,0.0,-0.0448716464003088,False,0.0,0.0,0.33333333333333337,0.19529794025059818,0.06013745704467354,0.06182224692933998,0.93817775307066,0.6666666666666666,False,0.06182224692933998,0.6666666666666666
31,8,29,0.0,,,0.0,9.36758041381836,1.0,1.0,0.6865379910140956,0.2058823529411765,0.0282783429942244,0.5,0.7142857142857143,0.06762560068712191,False,0.6535390451973578,14,3,8.0,51,3,51,14,12,3,0,0,0,0,False,0.0,,0.0596139730422867,-0.0452377295078694,False,0.0,0.0,0.3134620089859044,0.21446643324145362,0.13831615120274915,0.06762560068712191,0.9323743993128781,0.6865379910140956,False,0.06762560068712191,0.6865379910140956
480,313,315,0.0059084379948573,,,0.0,10.523093223571776,1.0,1.0,0.8126626148122993,0.2666666666666666,0.0693364694047413,0.5,0.2,0.07141482729303206,False,1.0310349539355537,19,11,10.0,30,11,29,18,18,10,1,1,1,1,True,0.0333333333333333,,0.437987844436898,-0.0453025726761461,False,0.0059084379948573,0.0,0.1873373851877007,0.3304557749884356,0.2813573883161512,0.07141482729303206,0.9285851727069679,0.8126626148122993,False,0.07141482729303206,0.8126626148122993
141,86,126,0.0300525858717302,,,0.0,10.569916725158691,1.0,1.0,0.8177734162441107,0.2,0.0406536672399803,0.6,0.6,0.06653196263309036,False,1.1216278354671452,5,4,10.0,6,4,5,4,4,3,1,1,1,1,True,0.1666666666666666,,0.4533202487323321,-0.0456909405517209,False,0.0300525858717302,0.0,0.1822265837558893,0.2193871770363894,0.0979381443298969,0.06653196263309036,0.9334680373669096,0.8177734162441107,False,0.06653196263309036,0.8177734162441107
415,260,281,0.0,,,0.0,9.398563385009766,1.0,1.0,0.6899197930613621,0.1815181518151815,0.0492909177119703,0.6666666666666666,0.3333333333333333,0.07407225338805551,False,0.934839852702454,29,7,8.0,101,7,101,29,29,7,0,0,0,0,False,0.0,,0.069759379184086,-0.045911072353421,False,0.0,0.0,0.3100802069386379,0.24021296255986677,0.2800687285223368,0.07407225338805551,0.9259277466119444,0.6899197930613621,False,0.07407225338805551,0.6899197930613621
514,341,301,0.0614903152761605,,,0.0,13.507705688476562,1.0,1.0,1.0,0.2666666666666666,0.0199146514935988,0.6,0.75,0.048511311304307414,False,0.752293892421816,3,3,10.0,3,3,2,2,2,2,1,1,1,1,True,0.3333333333333333,,1.0,-0.0467457420735092,False,0.0614903152761605,0.0,0.0,0.21579959268043838,0.04166666666666667,0.048511311304307414,0.9514886886956926,1.0,False,0.048511311304307414,1.0
361,230,232,0.0,,,0.0,8.154426574707031,1.0,1.0,0.6666666666666666,0.1785714285714285,0.019060010696955,0.625,0.5,0.06908376299522143,False,1.0962254186468878,10,5,9.0,21,5,21,10,12,5,0,0,0,0,False,0.0,,0.0,-0.0469035227398283,False,0.0,0.0,0.33333333333333337,0.20792276772869028,0.1610824742268041,0.06908376299522143,0.9309162370047785,0.6666666666666666,False,0.06908376299522143,0.6666666666666666
59,13,33,0.0,,,0.0,10.07188606262207,1.0,1.0,0.7634131967621599,0.224,0.0653282133238628,0.4285714285714285,0.5,0.07337842448920487,False,0.586989255123132,56,7,7.0,250,7,250,56,41,7,0,0,0,0,False,0.0,,0.2902395902864796,-0.0474084983438297,False,0.0,0.0,0.2365868032378401,0.27838575496762014,0.32603092783505155,0.07337842448920487,0.9266215755107952,0.7634131967621599,False,0.07337842448920487,0.7634131967621599
