dataset,phase2_run,phase2_run_dir,sampling_mode,seed,final_val_action_mse,best_val_action_mse,bottleneck_edge_val_mse,non_bottleneck_edge_val_mse,high_support_edge_val_mse,low_support_edge_val_mse,short_horizon_edge_val_mse,long_horizon_edge_val_mse
scene-play-v0,core_plus_bottleneck_budget192_H5,results/phase2/scene_play/core_plus_bottleneck_budget192_H5,uniform_transition,0,0.0245532956905663,0.0245532956905663,0.029635715309759062,0.028721927798752815,0.0231865368803806,0.03541733101898304,0.029726839131419058,0.023396956883899075
scene-play-v0,core_plus_bottleneck_budget192_H5,results/phase2/scene_play/core_plus_bottleneck_budget192_H5,uniform_edge,0,0.02513110637664795,0.02513110637664795,0.02888401617382413,0.028100706001084354,0.02378924388504439,0.033389510126965546,0.028956727139584963,0.023593669824132694
scene-play-v0,core_plus_bottleneck_budget192_H5,results/phase2/scene_play/core_plus_bottleneck_budget192_H5,bottleneck_weighted,0,0.02558236476033926,0.02558236476033926,0.02910034913883452,0.028829538085819815,0.024434142662338485,0.03367696437629986,0.029260075504489644,0.025836232383741733
