method,query_id,src,dst,reachable,path_length,num_adjacent_edge_pairs,planning_path_cost,base_path_cost,pair_penalty_cost,mean_edge_proxy_score,min_edge_proxy_score,mean_heldout_support_lcb,min_heldout_support_lcb,mean_edge_policy_support_score,mean_edge_ood_score,mean_pair_termination_bridge_coverage,min_pair_termination_bridge_coverage,mean_pair_bridge_matches_per_first_segment,pair_strict_compatible_rate,pair_incompatible_fraction,low_pair_coverage_fraction,missing_pair_fraction,uncertified_edge_fraction,original_uncertified_edge_fraction,high_pair_risk_fraction,proxy_path_success,path_nodes,path_edge_ids,num_repair_edges,repair_edge_fraction,repair_certified_fraction,mean_repair_edge_proxy_score,min_repair_edge_proxy_score
support_shortest_path,62,394,46,True,3,2,11.519674582402125,11.519674582402125,20.0,0.2955874054881876,0.05837092118892877,0.19746411395880623,0.0,0.5222456131841018,0.27551800572771357,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,1.0,0.009901295693870306,394 171 26 46,2143 724 162,1,0.3333333333333333,1.0,0.4581369544271739,0.4581369544271739
support_shortest_path,63,48,462,True,3,2,10.946659770268266,10.946659770268266,20.0,0.1383434453591513,0.07455524746981906,0.048133427891525866,0.0,0.477936137805574,0.39364088804948166,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.6666666666666666,0.6666666666666666,1.0,0.0021350881527248174,48 151 494 462,1959 619 1860,1,0.3333333333333333,1.0,0.15171304327024912,0.15171304327024912
support_shortest_path,64,143,271,True,3,2,8.052042128964924,8.052042128964924,20.0,0.22352126782348614,0.05665224814307634,0.12764851745847824,0.0,0.5052827861611053,0.3589817474448105,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,1.0,0.005313031280850212,143 161 369 271,551 660 1446,0,0.0,,,
support_shortest_path,65,494,434,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,0,,,,
support_shortest_path,66,327,7,True,3,2,9.527525572359398,9.527525572359398,20.0,0.09282024609390244,0.043216988228697864,0.0756726242748338,0.0,0.036586858783079886,0.7083406568455187,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.6666666666666666,0.6666666666666666,1.0,0.00045878976135698817,327 149 415 7,2380 604 1651,1,0.3333333333333333,1.0,0.17435763803063806,0.17435763803063806
support_shortest_path,67,401,377,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,0,,,,
support_shortest_path,68,62,509,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,0,,,,
support_shortest_path,69,436,343,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,0,,,,
support_shortest_path,70,509,385,True,3,2,9.755928946018457,9.755928946018457,20.0,0.12257880126132381,0.06629816744709068,0.042697268350742966,0.0,0.2606583612543079,0.640154770886317,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.6666666666666666,0.6666666666666666,1.0,0.0010929404099578692,509 361 217 385,1894 1430 888,0,0.0,,,
support_shortest_path,71,142,473,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,0,,,,
support_shortest_path,72,252,244,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,0,,,,
support_shortest_path,73,372,480,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,0,,,,
support_shortest_path,74,62,505,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,0,,,,
support_shortest_path,75,287,188,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,0,,,,
support_shortest_path,76,366,117,True,3,2,11.718090868465374,11.718090868465374,20.0,0.37215280030454706,0.30677043076767,0.46721121033782415,0.4102211973594734,0.6021821381270047,0.32971912973660084,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.05026621266919416,366 361 51 117,2217 2219 2136,3,1.0,1.0,0.37215280030454706,0.30677043076767
support_shortest_path,77,455,356,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,0,,,,
support_shortest_path,78,62,241,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,0,,,,
support_shortest_path,79,62,467,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,0,,,,
support_shortest_path,80,352,335,True,3,2,11.955122314805838,11.955122314805838,20.0,0.18718378811185957,0.057303661491704905,0.1619276694558279,0.0,0.24274525498070176,0.6421856406482035,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,1.0,0.0030865501029519187,352 404 383 335,1395 1611 1517,0,0.0,,,
support_shortest_path,81,115,94,True,2,1,7.643950550859379,7.643950550859379,10.0,0.16562357628830174,0.06672451942072026,0.2432220394564197,0.0,0.10323852647138272,0.4940470194154483,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5,1.0,0.01765014557322979,115 402 94,444 2080,1,0.5,1.0,0.2645226331558832,0.2645226331558832
support_shortest_path,82,327,288,True,3,2,9.609151428921216,9.609151428921216,18.27102803738318,0.3621236879401173,0.17435763803063806,0.3201223803990217,0.1988583725748604,0.40403582489597084,0.34027503002530346,0.0864485981308411,0.0,0.4742990654205608,0.5,0.5,0.5,0.0,0.0,0.0,1.0,0.03342244608115794,327 149 230 288,2380 599 923,1,0.3333333333333333,1.0,0.17435763803063806,0.17435763803063806
support_shortest_path,83,352,37,True,2,1,6.485598559653489,6.485598559653489,10.0,0.12463505179284998,0.05901408123049082,0.0750178544100857,0.0,0.1835501261634873,0.6518868735531136,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5,1.0,0.011227784357860388,352 24 37,1384 156,0,0.0,,,
support_shortest_path,84,62,293,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,0,,,,
support_shortest_path,85,161,194,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,0,,,,
support_shortest_path,86,327,98,True,4,3,14.521367033968907,14.521367033968907,30.0,0.14502644222549144,0.042526787154121615,0.13036352454606648,0.0,0.2167258780052528,0.7552286296703369,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.75,0.75,1.0,0.00016415560904354376,327 494 199 402 98,2353 1851 842 1587,1,0.25,1.0,0.31593250524345434,0.31593250524345434
support_shortest_path,87,352,185,True,4,3,16.11037947736989,16.11037947736989,30.0,0.18118459044774604,0.05766233058871472,0.15699636006490178,0.0328790800129209,0.334176980405342,0.679013863358199,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5,1.0,0.00045952012210203393,352 494 438 259 185,1397 2371 2139 2225,3,0.75,0.6666666666666666,0.22235867706742315,0.09903393381219655
support_shortest_path,88,391,448,True,4,3,14.89596516636665,14.89596516636665,30.0,0.2702469511159277,0.06964621066828165,0.2010145134086956,0.0,0.37028940997512727,0.41927475397053815,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.25,0.25,1.0,0.002612586057455397,391 415 149 171 448,2292 1655 597 2233,2,0.5,1.0,0.3641177891025522,0.3552137537886347
support_shortest_path,89,117,197,False,0,0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,0,,,,
support_shortest_path,90,494,172,True,3,2,9.734616314799982,9.734616314799982,20.0,0.17883496831855394,0.056149270472038874,0.04049313006837857,0.0,0.48552504493959964,0.287568326406686,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.6666666666666666,0.6666666666666666,1.0,0.0031267271436256562,494 311 171 172,1855 1247 732,0,0.0,,,
