condition,top_q,removed_nodes,path_coverage,mean_path_cost,reachable_pair_ratio,average_shortest_path_length
before,0.1,,0.95,10.836434528051866,0.95,11.695208154693347
after,0.1,371 259 175 410 429 271 171 319 43 463 199 163 248 139 149 121 290 167 3 385 230 404 146 381 169 207 157 474 253 8 179 251 173 205 22 13 449 488 313 487 56 208 233 26 273 80 309 120 485 266 281 315,0.83,11.487307433226135,0.83,13.118780158507517
