group_type,group_value,num_edges,mean_loss_weight,median_loss_weight,max_loss_weight,mean_planner_usage_count,method
support_group,high_support,3091,0.8535448652583641,0.8508132145257289,1.2543092525327664,0.0,augmented_loss_support_bottleneck_s03
support_group,low_support,3204,1.1368620206143318,1.083458279386514,1.8,0.0,augmented_loss_support_bottleneck_s03
bottleneck_group,high_bottleneck,3113,1.0345309175062662,0.9671707292787536,1.8,0.0,augmented_loss_support_bottleneck_s03
bottleneck_group,low_bottleneck,3182,0.9617593797501306,0.9265995920861854,1.4677714716221202,0.0,augmented_loss_support_bottleneck_s03
horizon_group,long_horizon,3134,1.0202578721621358,0.9697436916760104,1.8,0.0,augmented_loss_support_bottleneck_s03
horizon_group,short_horizon,3161,0.9754270551109737,0.9174518598244343,1.8,0.0,augmented_loss_support_bottleneck_s03
compatibility_group,unknown,6295,0.9977463212965723,0.9441600400014054,1.8,0.0,augmented_loss_support_bottleneck_s03
planner_usage_group,not_planner_used,6295,0.9977463212965723,0.9441600400014054,1.8,0.0,augmented_loss_support_bottleneck_s03
loss_weight_reason,support_bottleneck,6295,0.9977463212965723,0.9441600400014054,1.8,0.0,augmented_loss_support_bottleneck_s03
support_group,high_support,3091,0.8509932223082842,0.8461137421243825,1.2427061092223177,0.05596894208993853,planner_relevant_repair_s04
support_group,low_support,3204,1.1437515448954723,1.085422488424773,2.0880503128110255,0.031835205992509365,planner_relevant_repair_s04
bottleneck_group,high_bottleneck,3113,1.043945805515401,0.9718464712074661,2.0880503128110255,0.059749437841310635,planner_relevant_repair_s04
bottleneck_group,low_bottleneck,3182,0.9570071362132486,0.9190769532822879,1.6854106170298806,0.02796983029541169,planner_relevant_repair_s04
horizon_group,long_horizon,3134,1.023987854683301,0.9670870894860304,2.0880503128110255,0.01691129546904914,planner_relevant_repair_s04
horizon_group,short_horizon,3161,0.9762170399944748,0.9145182848149934,1.8368311238278046,0.07023093957608352,planner_relevant_repair_s04
compatibility_group,unknown,6295,1.0,0.9423177698816436,2.0880503128110255,0.043685464654487687,planner_relevant_repair_s04
planner_usage_group,not_planner_used,6073,0.9989283192507701,0.9425732208125569,1.881895049674917,0.0,planner_relevant_repair_s04
planner_usage_group,planner_used,222,1.0293167440994297,0.9266630334996533,2.0880503128110255,1.2387387387387387,planner_relevant_repair_s04
loss_weight_reason,base_support_bottleneck,5795,0.9821978571335375,0.9300424162097672,1.7833488767489882,0.035547886108714406,planner_relevant_repair_s04
loss_weight_reason,hard_repair,445,1.1895144702969564,1.1400938041621345,1.881895049674917,0.0,planner_relevant_repair_s04
loss_weight_reason,planner_used_repair,55,1.3423541568909996,1.26228067442993,2.0880503128110255,1.2545454545454546,planner_relevant_repair_s04
support_group,high_support,3091,0.8532426315239436,0.8501218841892385,1.2498825943595109,0.05596894208993853,planner_relevant_repair_s02
support_group,low_support,3204,1.141603215654268,1.0865418011256915,1.8335274442771652,0.031835205992509365,planner_relevant_repair_s02
bottleneck_group,high_bottleneck,3113,1.0404322030516513,0.9706161473412186,1.8335274442771652,0.059749437841310635,planner_relevant_repair_s02
bottleneck_group,low_bottleneck,3182,0.960466445285039,0.9238021362668576,1.5165813796607281,0.02796983029541169,planner_relevant_repair_s02
horizon_group,long_horizon,3134,1.0232837493436373,0.9704712752920236,1.8335274442771652,0.01691129546904914,planner_relevant_repair_s02
horizon_group,short_horizon,3161,0.9769371738544212,0.9175670439650442,1.7936475118111659,0.07023093957608352,planner_relevant_repair_s02
compatibility_group,unknown,6295,1.0000110686253827,0.9446489212292006,1.8335274442771652,0.043685464654487687,planner_relevant_repair_s02
planner_usage_group,not_planner_used,6073,1.0000333852408458,0.9450610858740127,1.7936475118111659,0.0,planner_relevant_repair_s02
planner_usage_group,planner_used,222,0.9994005785095886,0.9278234352829371,1.8335274442771652,1.2387387387387387,planner_relevant_repair_s02
loss_weight_reason,base_support_bottleneck,5795,0.9878819606577773,0.9354133044088005,1.7936475118111659,0.035547886108714406,planner_relevant_repair_s02
loss_weight_reason,hard_repair,445,1.1325887906821261,1.0822861558016472,1.743204003869111,0.0,planner_relevant_repair_s02
loss_weight_reason,planner_used_repair,55,1.2053036932985233,1.1525170124947512,1.8335274442771652,1.2545454545454546,planner_relevant_repair_s02
