segment_source,segment_edge_id,edge_src,edge_dst,attempts,completed,timeouts,success_rate,failure_excess,mean_attempt_steps,mean_final_subgoal_l2,mean_selected_policy_action_mse
bank,0,0,1,2,1,1,0.5,0,13.5,10.6954026222229,0.03923908621072769
bank,1,0,20,3,0,3,0.0,3,14.0,14.699193318684896,0.06735612452030182
bank,2,0,21,2,0,2,0.0,2,14.0,13.45841360092163,0.09793959558010101
bank,5,1,3,3,1,2,0.3333333333333333,1,19.0,7.766097068786621,0.037892282009124756
bank,12,2,4,2,0,2,0.0,2,20.0,14.55267858505249,0.05749189667403698
bank,15,2,23,2,0,2,0.0,2,15.0,12.4007568359375,0.092484250664711
bank,18,3,4,1,1,0,1.0,0,9.0,11.923648834228516,0.09976588934659958
bank,32,4,26,1,0,1,0.0,1,20.0,13.429171562194824,0.2119767963886261
bank,40,5,26,1,0,1,0.0,1,16.0,9.734491348266602,0.09327129274606705
bank,109,20,40,1,1,0,1.0,0,1.0,18.402790069580078,0.05294928699731827
bank,117,21,41,1,0,1,0.0,1,14.0,13.157062530517578,0.06465958058834076
bank,123,22,23,2,0,2,0.0,2,10.0,11.09018087387085,0.47767990827560425
bank,163,27,47,1,0,1,0.0,1,14.0,9.337623596191406,0.018597528338432312
bank,169,28,27,1,0,1,0.0,1,3.0,9.996162414550781,0.0069359587505459785
bank,227,40,60,1,0,1,0.0,1,14.0,10.906624794006348,0.0373665988445282
bank,228,40,61,1,0,1,0.0,1,5.0,9.901114463806152,0.03340858221054077
graph,0,1,3,1,0,1,0.0,1,20.0,10.144397735595703,0.037892282009124756
