edge_id,bank_edge_id,src,dst,repair_score,repair_reason,edge_action_mse,num_policy_eval_samples,edge_action_mse_ucb,direct_edge_policy_support_score,src_edge,dst_edge,is_repair_edge,num_unique_starts,num_unique_episodes,edge_bottleneck_score,median_h,num_segments,repair_reason_edge,planner_usage_count,used_by_planner,mean_endpoint_compatibility,support_group,bottleneck_group,horizon_group,compatibility_group,planner_usage_group
2859,525,21,236,4.070841855157696,low_compatibility_junction,0.0088307741447351,20,0.0500159061430757,0.83810198712285,21,236,True,3,3,0.4564190951629047,8.0,9,low_compatibility_junction,0.0,False,,low_support,low_bottleneck,long_horizon,unknown,not_planner_used
2860,544,21,377,4.070817877312016,low_compatibility_junction,0.0077623874353973,23,0.0437696255796218,0.8562030280108893,21,377,True,3,2,0.4564190951629047,8.5,12,low_compatibility_junction,0.0,False,,low_support,low_bottleneck,long_horizon,unknown,not_planner_used
2861,7140,327,149,4.066213372977041,low_compatibility_junction,0.0351568090263754,3,0.2473347198745783,0.4950303621946761,327,149,True,7,4,0.5869552819932353,2.0,11,low_compatibility_junction,4.0,True,,low_support,high_bottleneck,short_horizon,unknown,planner_used
2862,538,21,310,4.057187030064108,low_compatibility_junction,0.0106401966744063,24,0.0519093233231492,0.8083146051059763,21,310,True,3,2,0.4564190951629047,9.0,8,low_compatibility_junction,0.0,False,,low_support,low_bottleneck,long_horizon,unknown,not_planner_used
2863,5116,242,21,4.053465820963381,low_compatibility_junction,0.0106594611092337,7,0.0871441802153891,0.8080032306137627,242,21,True,5,2,0.4564190951629047,9.0,5,low_compatibility_junction,0.0,False,,low_support,low_bottleneck,long_horizon,unknown,not_planner_used
2864,8914,412,21,4.053465820963381,low_compatibility_junction,0.0070846945216709,11,0.0568263566593885,0.867886884306227,412,21,True,5,2,0.4564190951629047,9.0,5,low_compatibility_junction,0.0,False,,low_support,low_bottleneck,long_horizon,unknown,not_planner_used
2865,523,21,202,4.05007137012649,low_compatibility_junction,0.01033807424311,18,0.0573101380519621,0.8132135906093881,21,202,True,2,2,0.4564190951629047,8.0,7,low_compatibility_junction,0.0,False,,low_support,low_bottleneck,long_horizon,unknown,not_planner_used
2866,4307,200,149,4.049859132850534,low_compatibility_junction,0.0294036297435762,34,0.0870427157527099,0.5553967282803731,200,149,True,15,4,0.5869552819932353,4.0,29,low_compatibility_junction,0.0,False,,high_support,high_bottleneck,short_horizon,unknown,not_planner_used
2867,560,21,479,4.0479263923243005,low_compatibility_junction,0.0075767414475029,11,0.0590167417521183,0.8593879501716809,21,479,True,3,3,0.4564190951629047,10.0,5,low_compatibility_junction,0.0,False,,low_support,low_bottleneck,long_horizon,unknown,not_planner_used
2868,548,21,416,4.045714966772113,low_compatibility_junction,0.0072190012849335,14,0.0517262361191237,0.8655587509804106,21,416,True,2,2,0.4564190951629047,8.0,6,low_compatibility_junction,0.0,False,,low_support,low_bottleneck,long_horizon,unknown,not_planner_used
2869,558,21,471,4.045714966772113,low_compatibility_junction,0.0102099000775654,14,0.0631400104239831,0.8153009243566526,21,471,True,2,2,0.4564190951629047,8.0,6,low_compatibility_junction,0.0,False,,low_support,low_bottleneck,long_horizon,unknown,not_planner_used
