bottleneck_score,contract_lcb,contract_score,d_phi,dst,edge_id,edge_type,gas_edge_exists,predicted_contract_positive,predicted_hit,predicted_negative_progress,q_train_support,src,uncertainty
0.0,0.0,0.1108209639787674,23.70697593688965,n000001,e000000,original_target,True,0.1108209639787674,0.018788939341902733,0.36612579226493835,,n000000,0.1108209639787674
0.0,0.0,0.1108209639787674,23.70697593688965,n000001,e000001,original_target,True,0.1108209639787674,0.018788939341902733,0.36612579226493835,,n000000,0.1108209639787674
0.0,0.0,0.1108209639787674,23.70697593688965,n000001,e000002,original_target,True,0.1108209639787674,0.018788939341902733,0.36612579226493835,,n000000,0.1108209639787674
0.0,0.0,0.1619911938905716,23.866802215576172,n000003,e000003,original_target,True,0.1619911938905716,0.04690554365515709,0.4591677784919739,,n000002,0.1619911938905716
0.0,0.0,0.1619911938905716,23.866802215576172,n000003,e000004,original_target,True,0.1619911938905716,0.04690554365515709,0.4591677784919739,,n000002,0.1619911938905716
0.0,0.0,0.1619911938905716,23.866802215576172,n000003,e000005,original_target,True,0.1619911938905716,0.04690554365515709,0.4591677784919739,,n000002,0.1619911938905716
0.0,0.0,0.1684129387140274,22.28080177307129,n000001,e000006,original_target,True,0.1684129387140274,0.03430255874991417,0.30002257227897644,,n000004,0.1684129387140274
0.0,0.0,0.1684129387140274,22.28080177307129,n000001,e000007,original_target,True,0.1684129387140274,0.03430255874991417,0.30002257227897644,,n000004,0.1684129387140274
0.0,0.0,0.1684129387140274,22.28080177307129,n000001,e000008,original_target,True,0.1684129387140274,0.03430255874991417,0.30002257227897644,,n000004,0.1684129387140274
0.0,0.0,0.16128310561180115,23.56918716430664,n000003,e000009,original_target,True,0.16128310561180115,0.034703414887189865,0.4477664828300476,,n000005,0.16128310561180115
0.0,0.0,0.16128310561180115,23.56918716430664,n000003,e000010,original_target,True,0.16128310561180115,0.034703414887189865,0.4477664828300476,,n000005,0.16128310561180115
0.0,0.0,0.16128310561180115,23.56918716430664,n000003,e000011,original_target,True,0.16128310561180115,0.034703414887189865,0.4477664828300476,,n000005,0.16128310561180115
0.0,0.0,0.18999716639518738,22.041898727416992,n000001,e000012,original_target,True,0.18999716639518738,0.038556575775146484,0.3268284499645233,,n000006,0.18999716639518738
0.0,0.0,0.18999716639518738,22.041898727416992,n000001,e000013,original_target,True,0.18999716639518738,0.038556575775146484,0.3268284499645233,,n000006,0.18999716639518738
0.0,0.0,0.18999716639518738,22.041898727416992,n000001,e000014,original_target,True,0.18999716639518738,0.038556575775146484,0.3268284499645233,,n000006,0.18999716639518738
0.0,0.0,0.1239008679986,22.785968780517578,n000008,e000015,original_target,True,0.1239008679986,0.021129345521330833,0.26429593563079834,,n000007,0.1239008679986
0.0,0.0,0.1239008679986,22.785968780517578,n000008,e000016,original_target,True,0.1239008679986,0.021129345521330833,0.26429593563079834,,n000007,0.1239008679986
0.0,0.0,0.1239008679986,22.785968780517578,n000008,e000017,original_target,True,0.1239008679986,0.021129345521330833,0.26429593563079834,,n000007,0.1239008679986
0.0,0.0,0.10466335713863373,22.86366844177246,n000001,e000018,original_target,True,0.10466335713863373,0.018525293096899986,0.3239564597606659,,n000009,0.10466335713863373
0.0,0.0,0.10466335713863373,22.86366844177246,n000001,e000019,original_target,True,0.10466335713863373,0.018525293096899986,0.3239564597606659,,n000009,0.10466335713863373
0.0,0.0,0.10466335713863373,22.86366844177246,n000001,e000020,original_target,True,0.10466335713863373,0.018525293096899986,0.3239564597606659,,n000009,0.10466335713863373
0.0,0.0,0.15062783658504486,23.397289276123047,n000003,e000021,original_target,True,0.15062783658504486,0.03311853110790253,0.4121599793434143,,n000010,0.15062783658504486
0.0,0.0,0.15062783658504486,23.397289276123047,n000003,e000022,original_target,True,0.15062783658504486,0.03311853110790253,0.4121599793434143,,n000010,0.15062783658504486
0.0,0.0,0.15062783658504486,23.397289276123047,n000003,e000023,original_target,True,0.15062783658504486,0.03311853110790253,0.4121599793434143,,n000010,0.15062783658504486
0.030499812215566635,0.030499812215566635,0.19101248681545258,21.106473922729492,n000008,e000024,original_target,True,0.19101248681545258,0.04317691922187805,0.2255191057920456,,n000011,0.19101248681545258
0.030499812215566635,0.030499812215566635,0.19101248681545258,21.106473922729492,n000008,e000025,original_target,True,0.19101248681545258,0.04317691922187805,0.2255191057920456,,n000011,0.19101248681545258
0.030499812215566635,0.030499812215566635,0.19101248681545258,21.106473922729492,n000008,e000026,original_target,True,0.19101248681545258,0.04317691922187805,0.2255191057920456,,n000011,0.19101248681545258
0.0,0.0,0.07067719846963882,23.629423141479492,n000001,e000027,original_target,True,0.07067719846963882,0.010684370063245296,0.27891725301742554,,n000012,0.07067719846963882
0.0,0.0,0.07067719846963882,23.629423141479492,n000001,e000028,original_target,True,0.07067719846963882,0.010684370063245296,0.27891725301742554,,n000012,0.07067719846963882
0.0,0.0,0.07067719846963882,23.629423141479492,n000001,e000029,original_target,True,0.07067719846963882,0.010684370063245296,0.27891725301742554,,n000012,0.07067719846963882
0.0,0.0,0.1298666149377823,23.97872543334961,n000003,e000030,original_target,True,0.1298666149377823,0.029779190197587013,0.43853867053985596,,n000013,0.1298666149377823
0.0,0.0,0.1298666149377823,23.97872543334961,n000003,e000031,original_target,True,0.1298666149377823,0.029779190197587013,0.43853867053985596,,n000013,0.1298666149377823
0.0,0.0,0.1298666149377823,23.97872543334961,n000003,e000032,original_target,True,0.1298666149377823,0.029779190197587013,0.43853867053985596,,n000013,0.1298666149377823
0.0,0.0,0.20996199548244476,21.051973342895508,n000001,e000033,original_target,True,0.20996199548244476,0.0628194659948349,0.33961260318756104,,n000014,0.20996199548244476
0.0,0.0,0.20996199548244476,21.051973342895508,n000001,e000034,original_target,True,0.20996199548244476,0.0628194659948349,0.33961260318756104,,n000014,0.20996199548244476
0.0,0.0,0.20996199548244476,21.051973342895508,n000001,e000035,original_target,True,0.20996199548244476,0.0628194659948349,0.33961260318756104,,n000014,0.20996199548244476
0.0,0.0,0.18426959216594696,23.23987579345703,n000003,e000036,original_target,True,0.18426959216594696,0.06885485351085663,0.46754467487335205,,n000015,0.18426959216594696
0.0,0.0,0.18426959216594696,23.23987579345703,n000003,e000037,original_target,True,0.18426959216594696,0.06885485351085663,0.46754467487335205,,n000015,0.18426959216594696
0.0,0.0,0.18426959216594696,23.23987579345703,n000003,e000038,original_target,True,0.18426959216594696,0.06885485351085663,0.46754467487335205,,n000015,0.18426959216594696
0.0,0.0,0.01494483184069395,21.01152229309082,n000017,e000039,original_target,True,0.01494483184069395,0.007814495824277401,0.1784263700246811,,n000016,0.01494483184069395
0.0,0.0,0.01494483184069395,21.01152229309082,n000017,e000040,original_target,True,0.01494483184069395,0.007814495824277401,0.1784263700246811,,n000016,0.01494483184069395
0.0,0.0,0.01494483184069395,21.01152229309082,n000017,e000041,original_target,True,0.01494483184069395,0.007814495824277401,0.1784263700246811,,n000016,0.01494483184069395
0.0,0.0,0.0020417473278939724,23.585769653320312,n000019,e000042,original_target,True,0.0020417473278939724,0.0009855926036834717,0.20542900264263153,,n000018,0.0020417473278939724
0.0,0.0,0.0020417473278939724,23.585769653320312,n000019,e000043,original_target,True,0.0020417473278939724,0.0009855926036834717,0.20542900264263153,,n000018,0.0020417473278939724
0.0,0.0,0.0020417473278939724,23.585769653320312,n000019,e000044,original_target,True,0.0020417473278939724,0.0009855926036834717,0.20542900264263153,,n000018,0.0020417473278939724
0.0,0.0,0.004032075870782137,21.45140266418457,n000021,e000045,original_target,True,0.004032075870782137,0.0020652294624596834,0.23751062154769897,,n000020,0.004032075870782137
0.0,0.0,0.004032075870782137,21.45140266418457,n000021,e000046,original_target,True,0.004032075870782137,0.0020652294624596834,0.23751062154769897,,n000020,0.004032075870782137
0.0,0.0,0.004032075870782137,21.45140266418457,n000021,e000047,original_target,True,0.004032075870782137,0.0020652294624596834,0.23751062154769897,,n000020,0.004032075870782137
0.0,0.0,0.00122537009883672,23.127635955810547,n000023,e000048,original_target,True,0.00122537009883672,0.0005314620793797076,0.19843310117721558,,n000022,0.00122537009883672
0.0,0.0,0.00122537009883672,23.127635955810547,n000023,e000049,original_target,True,0.00122537009883672,0.0005314620793797076,0.19843310117721558,,n000022,0.00122537009883672
0.0,0.0,0.00122537009883672,23.127635955810547,n000023,e000050,original_target,True,0.00122537009883672,0.0005314620793797076,0.19843310117721558,,n000022,0.00122537009883672
0.0,0.0,0.0007395577849820256,23.828155517578125,n000025,e000051,original_target,True,0.0007395577849820256,0.00035219607525505126,0.2192116528749466,,n000024,0.0007395577849820256
0.0,0.0,0.0007395577849820256,23.828155517578125,n000025,e000052,original_target,True,0.0007395577849820256,0.00035219607525505126,0.2192116528749466,,n000024,0.0007395577849820256
0.0,0.0,0.0007395577849820256,23.828155517578125,n000025,e000053,original_target,True,0.0007395577849820256,0.00035219607525505126,0.2192116528749466,,n000024,0.0007395577849820256
0.0,0.0,0.0009217080078087747,23.511991500854492,n000027,e000054,original_target,True,0.0009217080078087747,0.0003458588616922498,0.27496448159217834,,n000026,0.0009217080078087747
0.0,0.0,0.0009217080078087747,23.511991500854492,n000027,e000055,original_target,True,0.0009217080078087747,0.0003458588616922498,0.27496448159217834,,n000026,0.0009217080078087747
0.0,0.0,0.0009217080078087747,23.511991500854492,n000027,e000056,original_target,True,0.0009217080078087747,0.0003458588616922498,0.27496448159217834,,n000026,0.0009217080078087747
0.0,0.0,0.0008226614445447922,23.98635482788086,n000029,e000057,original_target,True,0.0008226614445447922,0.0003089027013629675,0.3712184727191925,,n000028,0.0008226614445447922
