condition,top_q,removed_nodes,path_coverage,mean_path_cost,reachable_pair_ratio,average_shortest_path_length
before,0.1,,0.5333333333333333,71.93956258418645,0.5333333333333333,94.48482113877583
after,0.1,332 207 206 146,0.4666666666666667,72.0855112768321,0.4666666666666667,82.57971880020006
