condition,top_q,removed_nodes,path_coverage,mean_path_cost,reachable_pair_ratio,average_shortest_path_length
before,0.1,,0.8,19.319575178495576,0.8,15.063382508761205
after,0.1,175 410 429 171 199 139 290 167 3 385 230 146 169,0.8,29.941609153791042,0.8,20.5946160626096
