dataset_name,H,node_selection,node_budget,mode,num_queries,num_reachable,path_coverage,mean_path_edges,mean_path_cost,median_path_cost,all_num_queries,strict_num_queries,strict_num_reachable,strict_query_selection_rate,strict_coverage_over_all,mean_num_virtual_edges_used,median_num_virtual_edges_used,mean_virtual_edge_ratio
scene-play-v0,5,core_plus_bottleneck,64,strict_selected,1,1,1.0,3.0,11.357897198022918,11.357897198022918,100,1.0,1.0,0.01,0.01,,,
scene-play-v0,5,core_plus_bottleneck,64,virtual_query,100,81,0.81,3.5185185185185186,15.53030529489471,14.893578035206463,100,,,,,1.59,2.0,0.5157142857142857
