segment_source,segment_edge_id,edge_src,edge_dst,attempts,completed,timeouts,success_rate,failure_excess,mean_attempt_steps,mean_final_subgoal_l2,mean_selected_policy_action_mse
bank,0,0,1,1,1,0,1.0,0,11.0,7.967166900634766,0.03923908621072769
bank,1,0,20,1,0,1,0.0,1,14.0,14.470733642578125,0.06735612452030182
bank,2,0,21,1,0,1,0.0,1,14.0,13.294046401977539,0.09793959558010101
bank,5,1,3,3,1,2,0.3333333333333333,1,18.0,10.526740233103434,0.037892282009124756
bank,11,2,3,1,1,0,1.0,0,8.0,4.430431365966797,0.098394975066185
bank,12,2,4,2,0,2,0.0,2,20.0,15.459824562072754,0.0823717713356018
bank,14,2,22,1,0,1,0.0,1,10.0,8.472630500793457,0.022053662687540054
bank,15,2,23,2,0,2,0.0,2,15.0,11.15777063369751,0.092484250664711
bank,18,3,4,3,1,2,0.3333333333333333,1,11.0,11.012200991312662,0.01720078910390536
bank,23,3,24,1,0,1,0.0,1,13.0,10.549701690673828,0.2856288552284241
bank,32,4,26,1,0,1,0.0,1,14.0,12.787956237792969,0.30572134256362915
bank,106,20,1,1,1,0,1.0,0,16.0,7.150345325469971,0.06689700484275818
bank,108,20,21,1,0,1,0.0,1,12.0,7.2801923751831055,0.03261657804250717
bank,109,20,40,2,0,2,0.0,2,14.0,14.050562858581543,0.05294928699731827
bank,110,20,41,2,0,2,0.0,2,14.0,9.385848999023438,0.053104791790246964
graph,0,1,3,2,1,1,0.5,0,17.5,9.153222799301147,0.037892282009124756
