dataset_name,H,node_selection,node_budget,mode,num_queries,num_reachable,path_coverage,mean_path_edges,mean_path_cost,median_path_cost,all_num_queries,strict_num_queries,strict_num_reachable,strict_query_selection_rate,strict_coverage_over_all,mean_num_virtual_edges_used,median_num_virtual_edges_used,mean_virtual_edge_ratio
antmaze-large-stitch-v0,25,bottleneck,40,strict_selected,32,24,0.75,3.125,67.49433577974439,69.00297485942708,500,32.0,24.0,0.064,0.048,,,
antmaze-large-stitch-v0,25,bottleneck,40,virtual_query,500,177,0.354,3.1864406779661016,74.3296722946881,73.10369516947304,500,,,,,0.694,0.0,0.22366666666666665
