H,support_asymmetry,one_way_edge_ratio,num_support_edges,num_support_nodes,mean_directed_asymmetry,one_way_reachable_ratio,reachable_pair_ratio,directed_reachable_pair_ratio,num_sampled_pairs
1,0.02506006006006006,0.08754863813229571,1028,400,0.03135050189775289,0.0032,0.372,0.3704,5000
5,0.07414242728184553,0.06520247083047358,1457,400,0.03040759016756122,0.0036,0.4202,0.4184,5000
10,0.1240382037533512,0.10175438596491228,1995,400,0.05111304479962971,0.01,0.4288,0.4238,5000
25,0.16521091184642586,0.1265577402381612,3611,400,0.05327411942439746,0.0082,0.4182,0.4141,5000
50,0.19375738439600734,0.15541090317331163,6145,400,0.07008465121994241,0.012,0.4372,0.4312,5000
