method,num_paths,mean_path_edges,mean_path_cost,mean_unsupported_edge_fraction,mean_unsupported_scc_edge_fraction,mean_num_scc_edges,mean_num_unsupported_scc_edges,mean_same_traj_support
gate_multi_cost105,3655,2.2621067031463746,85.82561831754796,0.9624715002279982,0.0,0.0,0.0,16.374555403556773
gate_multi_cost108,3655,2.26484268125855,85.98173660977595,0.9544003647970817,0.0,0.0,0.0,18.860624715002277
gate_w5_cost102,3655,2.2618331053351572,85.73763206588912,0.9691974464204286,0.0,0.0,0.0,13.061764705882354
gate_w5_cost105,3655,2.2618331053351572,85.80460817934551,0.9638622891016871,0.0,0.0,0.0,16.084427724578205
gate_w5_cost108,3655,2.2621067031463746,85.81479245497655,0.9630870953032377,0.0,0.0,0.0,16.52624259005928
global_w5,3655,2.2593707250342,91.67900488730552,0.963155494756042,0.0,0.0,0.0,16.367236662106702
original,3655,2.2618331053351572,85.72566164971703,0.9726630186958505,0.0,0.0,0.0,11.24033287733698
