reference_method,method,num_common_paths,num_changed_paths,path_change_rate
original,global_w5,3655,217,0.059370725034199726
original,gate_w5_cost102,3655,37,0.01012311901504788
original,gate_w5_cost105,3655,109,0.029822161422708618
original,gate_w5_cost108,3655,118,0.03228454172366621
original,gate_multi_cost105,3655,124,0.03392612859097127
original,gate_multi_cost108,3655,212,0.058002735978112174
