condition,top_q,removed_nodes,path_coverage,mean_path_cost,reachable_pair_ratio,average_shortest_path_length
before,0.1,,0.4368932038834951,36.99159163194873,0.4368932038834951,35.63905358759333
after,0.1,207 55 166 252 206 187 186 233 126 208 229 313,0.35275080906148865,37.238102049541,0.35275080906148865,35.81799444610602
