H,support_asymmetry,one_way_edge_ratio,num_support_edges,num_support_nodes,num_self_edges,num_inter_edges,num_all_supported_edges,mean_directed_asymmetry,one_way_reachable_ratio,reachable_pair_ratio,directed_reachable_pair_ratio,num_sampled_pairs
1,0.024095477386934672,0.10741687979539642,782,400,255,782,1037,0.09765349059544258,0.0274,0.387,0.3733,5000
5,0.0714020304568528,0.0768,1250,400,256,1250,1506,0.03164391608031075,0.0036,0.4246,0.4228,5000
10,0.120706940874036,0.1402192729371033,1733,400,257,1733,1990,0.04702486319829018,0.0036,0.4244,0.4226,5000
25,0.19674374331550804,0.14055299539170507,3472,400,257,3472,3729,0.038923051150781485,0.002,0.412,0.411,5000
50,0.24306532951289397,0.1563393708293613,6294,400,258,6294,6552,0.052177152048560695,0.0042,0.4346,0.4325,5000
