H,density_top_p,random_same_budget,bottleneck_top_p,core_plus_bottleneck
1,0.775,0.19375,1.0,1.0
5,0.75,0.19375,1.0,1.0
10,0.8,0.18375,1.0,1.0
25,0.85,0.20374999999999996,1.0,1.0
50,0.875,0.185,1.0,1.0
