cluster,count,density
0,8,0.008
1,54,0.054
2,0,0.0
3,0,0.0
4,0,0.0
5,67,0.067
6,71,0.071
7,0,0.0
8,0,0.0
9,0,0.0
10,0,0.0
11,0,0.0
12,0,0.0
13,0,0.0
14,0,0.0
15,205,0.205
16,40,0.04
17,0,0.0
18,84,0.084
19,37,0.037
20,120,0.12
21,78,0.078
22,50,0.05
23,186,0.186
24,0,0.0
