dataset_name,method,episode_id,seed,task_id,num_steps,success,total_reward,initial_goal_l2,final_goal_l2,start_cluster,goal_cluster,planned_edges,completed_edges,replans,full_bank_fallbacks,failed_edge_attempts,unique_failed_edges,prior_penalized_edges,failure_reason
antmaze-large-stitch-v0,state_conditioned_3ep_corebot100k_H10_B120,0,0,1,120,0.0,0.0,44.76853561401367,41.85272979736328,0,398,166,4,8,8,7,5,0,max_steps_without_success
antmaze-large-stitch-v0,state_conditioned_3ep_corebot100k_H10_B120,1,1,1,120,0.0,0.0,43.563297271728516,41.698307037353516,1,399,155,1,8,8,7,7,0,max_steps_without_success
antmaze-large-stitch-v0,state_conditioned_3ep_corebot100k_H10_B120,2,2,1,117,0.0,0.0,43.29732894897461,42.81999588012695,1,398,181,0,9,9,8,7,0,max_replans_exceeded
