segment_source,segment_edge_id,edge_src,edge_dst,attempts,completed,timeouts,success_rate,failure_excess,mean_attempt_steps,mean_final_subgoal_l2,mean_selected_policy_action_mse
bank,0,0,1,2,1,1,0.5,0,9.0,11.09132432937622,0.03923908621072769
bank,1,0,20,2,0,2,0.0,2,14.0,15.199278831481934,0.06735612452030182
bank,2,0,21,2,0,2,0.0,2,14.0,13.894771099090576,0.09793959558010101
bank,5,1,3,3,0,3,0.0,3,20.0,7.354747772216797,0.037892282009124756
bank,12,2,4,1,0,1,0.0,1,20.0,14.63924503326416,0.0823717713356018
bank,15,2,23,2,0,2,0.0,2,15.0,15.262826919555664,0.092484250664711
bank,18,3,4,2,1,1,0.5,0,10.0,11.454138278961182,0.09976588934659958
bank,23,3,24,1,1,0,1.0,0,8.0,16.10090446472168,0.2856288552284241
bank,32,4,26,1,0,1,0.0,1,1.0,9.364058494567871,0.30572134256362915
bank,117,21,41,1,0,1,0.0,1,14.0,12.489373207092285,0.06465958058834076
bank,120,22,2,1,0,1,0.0,1,10.0,8.519819259643555,0.0545751117169857
bank,121,22,3,1,0,1,0.0,1,16.0,22.296907424926758,0.028081025928258896
bank,123,22,23,3,1,2,0.3333333333333333,1,7.666666666666667,9.773613452911377,0.4857388138771057
bank,125,23,3,2,1,1,0.5,0,8.0,10.675965785980225,0.019983407109975815
bank,126,23,4,3,0,3,0.0,3,10.333333333333334,11.61992613474528,0.3552308976650238
bank,133,24,25,1,0,1,0.0,1,14.0,8.408232688903809,0.0597553588449955
graph,0,1,3,1,0,1,0.0,1,20.0,4.049285888671875,0.037892282009124756
