segment_source,segment_edge_id,planner_edge_id,src,dst,num_initiation_samples,min_initiation_distance,median_initiation_distance,distance_scale,state_conditioned_risk_score,state_conditioned_risk_penalty,episode_id,replan_index,current_cluster
graph,0,0,1,3,54,2.8322434425354004,21.487695693969727,2.8322434425354004,0.6321205588285577,0.15803013970713942,0,0,1
bank,3,3,1,0,128,0.8463127017021179,27.518428802490234,2.8322434425354004,0.25830230977817736,0.06457557744454434,0,0,1
bank,4,4,1,2,128,2.054791212081909,23.641490936279297,2.8322434425354004,0.5159172925766287,0.12897932314415717,0,0,1
bank,5,5,1,3,54,2.8322434425354004,21.487695693969727,2.8322434425354004,0.6321205588285577,0.15803013970713942,0,0,1
bank,6,6,1,20,56,13.201138496398926,23.38772201538086,2.8322434425354004,0.9905431723260785,0.24763579308151962,0,0,1
bank,7,7,1,21,128,0.865074634552002,26.862272262573242,2.8322434425354004,0.26319937903721635,0.06579984475930409,0,0,1
bank,8,8,1,22,57,10.680436134338379,25.830448150634766,2.8322434425354004,0.9769713521926957,0.24424283804817393,0,0,1
bank,9,9,2,0,29,1.9168699979782104,26.096467971801758,2.091752290725708,0.6000414483837321,0.15001036209593302,0,1,2
bank,10,10,2,1,128,1.9168699979782104,24.59471321105957,2.091752290725708,0.6000414483837321,0.15001036209593302,0,1,2
bank,11,11,2,3,128,2.091752290725708,19.26466178894043,2.091752290725708,0.6321205588285577,0.15803013970713942,0,1,2
bank,12,12,2,4,76,2.119882345199585,21.379741668701172,2.091752290725708,0.6370347143516215,0.15925867858790538,0,1,2
bank,13,13,2,21,128,4.112986087799072,12.899040222167969,2.091752290725708,0.860024428262164,0.215006107065541,0,1,2
bank,14,14,2,22,128,2.401287078857422,13.218424797058105,2.091752290725708,0.6827225659688478,0.17068064149221196,0,1,2
bank,15,15,2,23,14,2.091752290725708,18.66769027709961,2.091752290725708,0.6321205588285577,0.15803013970713942,0,1,2
bank,9,9,2,0,29,2.056030511856079,25.46499252319336,2.056030511856079,0.6321205588285577,0.15803013970713942,0,2,2
bank,10,10,2,1,128,1.8646025657653809,23.81377410888672,2.056030511856079,0.5962237552388423,0.14905593880971058,0,2,2
bank,11,11,2,3,128,1.6759164333343506,18.89966583251953,2.056030511856079,0.5574148285805582,0.13935370714513956,0,2,2
bank,12,12,2,4,76,2.1605396270751953,20.52834701538086,2.056030511856079,0.6503527631135556,0.1625881907783889,0,2,2
bank,13,13,2,21,128,3.422978639602661,12.063764572143555,2.056030511856079,0.8107806154314934,0.20269515385787334,0,2,2
bank,14,14,2,22,128,2.264162540435791,12.43983268737793,2.056030511856079,0.6675381057178886,0.16688452642947216,0,2,2
bank,15,15,2,23,14,2.0019567012786865,18.2591552734375,2.056030511856079,0.6223169392816688,0.1555792348204172,0,2,2
bank,124,124,23,2,128,3.2405946254730225,11.52142333984375,3.2405946254730225,0.6321205588285577,0.15803013970713942,0,3,23
bank,125,125,23,3,128,1.540675163269043,12.764486312866211,3.2405946254730225,0.37838215476799975,0.09459553869199994,0,3,23
bank,126,126,23,4,34,3.5090878009796143,34.22311782836914,3.2405946254730225,0.6613719793656706,0.16534299484141765,0,3,23
bank,127,127,23,21,7,3.286391496658325,5.45073938369751,3.2405946254730225,0.6372829564908268,0.1593207391227067,0,3,23
bank,128,128,23,22,128,3.039323329925537,5.55118989944458,3.2405946254730225,0.6085473157591301,0.15213682893978253,0,3,23
graph,1,1,3,1,45,2.6214611530303955,27.40028953552246,2.6214611530303955,0.6321205588285577,0.15803013970713942,0,4,3
graph,2,2,3,4,128,1.835071325302124,23.55668830871582,2.6214611530303955,0.5034238869580272,0.1258559717395068,0,4,3
graph,3,3,3,5,71,3.6080853939056396,18.00131607055664,2.6214611530303955,0.7475051035153439,0.18687627587883598,0,4,3
bank,16,16,3,1,45,2.6214611530303955,27.40028953552246,2.6214611530303955,0.6321205588285577,0.15803013970713942,0,4,3
bank,17,17,3,2,128,2.6866867542266846,22.991310119628906,2.6214611530303955,0.6411609757521783,0.16029024393804459,0,4,3
bank,18,18,3,4,128,0.4178992807865143,24.898574829101562,2.6214611530303955,0.14735725243440567,0.03683931310860142,0,4,3
bank,19,19,3,5,71,3.6080853939056396,18.00131607055664,2.6214611530303955,0.7475051035153439,0.18687627587883598,0,4,3
bank,20,20,3,21,5,2.803110122680664,3.8440563678741455,2.6214611530303955,0.6567488979277567,0.16418722448193918,0,4,3
bank,21,21,3,22,128,2.6124680042266846,12.14344596862793,2.6214611530303955,0.6308563493955983,0.15771408734889958,0,4,3
bank,22,22,3,23,128,2.6124680042266846,23.637779235839844,2.6214611530303955,0.6308563493955983,0.15771408734889958,0,4,3
bank,23,23,3,24,13,3.308472156524658,35.17890930175781,2.6214611530303955,0.716933035294242,0.1792332588235605,0,4,3
graph,1,1,3,1,45,2.883504867553711,27.618694305419922,2.883504867553711,0.6321205588285577,0.15803013970713942,0,5,3
