method,query_id,src,dst,reachable,path_length,planning_path_cost,base_path_cost,mean_edge_proxy_score,min_edge_proxy_score,mean_heldout_support_lcb,min_heldout_support_lcb,mean_edge_policy_support_score,mean_edge_ood_score,mean_outgoing_incompatible_fraction,mean_outgoing_termination_bridge_coverage,uncertified_edge_fraction,low_proxy_edge_fraction,low_support_lcb_edge_fraction,high_ood_edge_fraction,high_incompat_edge_fraction,bottleneck_edge_fraction,proxy_path_success,path_nodes,path_edge_ids
support_shortest_path,51,366,5,False,0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,52,231,355,False,0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,53,67,399,False,0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,54,420,267,False,0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,55,394,399,False,0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,56,280,494,False,0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,57,389,319,True,3,9.501959329924256,9.501959329924256,0.3153248916840017,0.3068616839392528,0.12112483096325989,0.083273228759258,0.8158677969360649,0.14164991121847345,0.3846153846153846,0.22598737500698282,1.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.03129066825313512,389 58 186 319,1544 287 816
support_shortest_path,58,10,239,False,0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,59,260,247,False,0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,60,352,293,False,0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,61,441,458,False,0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,62,394,46,False,0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,63,48,462,False,0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,64,143,271,True,3,8.052042128964924,8.052042128964924,0.19538522754172183,0.0,0.12764851745847824,0.0,0.5052827861611053,0.35898174744481065,0.7564102564102564,0.05620245457643827,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.0,143 161 369 271,551 660 1446
support_shortest_path,65,494,434,False,0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,66,327,7,False,0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,67,401,377,False,0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,68,62,509,False,0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,69,436,343,False,0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,70,509,385,True,3,9.755928946018456,9.755928946018456,0.07034892941825346,0.0,0.042697268350742966,0.0,0.2606583612543079,0.640154770886317,0.7861952861952862,0.114024864024864,1.0,1.0,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,0.0,509 361 217 385,1894 1430 888
support_shortest_path,71,142,473,False,0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,72,252,244,False,0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,73,372,480,False,0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,74,62,505,False,0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,75,287,188,False,0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,76,366,117,False,0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,77,455,356,False,0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,78,62,241,False,0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,79,62,467,False,0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,80,352,335,True,3,11.955122314805838,11.955122314805838,0.10906672918512318,0.0,0.1619276694558279,0.0,0.24274525498070176,0.6421856406482035,0.7518518518518519,0.12043710377043708,1.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,0.0,352 404 383 335,1395 1611 1517
support_shortest_path,81,115,94,False,0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,82,327,288,False,0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,83,352,37,True,2,6.485598559653489,6.485598559653489,0.0591099830249512,0.0,0.0750178544100857,0.0,0.1835501261634873,0.6518868735531136,0.86875,0.059375,1.0,1.0,0.5,1.0,1.0,0.0,0.0,352 24 37,1384 156
support_shortest_path,84,62,293,False,0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,85,161,194,False,0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,86,327,98,False,0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,87,352,185,False,0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,88,391,448,False,0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,89,117,197,False,0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,90,494,172,True,3,9.734616314799982,9.734616314799982,0.16503503158479513,0.0,0.04049313006837857,0.0,0.48552504493959964,0.2875683264066861,0.8306878306878307,0.04921925409730283,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.0,494 311 171 172,1855 1247 732
support_shortest_path,91,152,246,False,0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,92,7,349,False,0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,93,478,261,False,0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,94,436,332,False,0,,,,,,,,,,,,,,,,,0.0,,
support_shortest_path,95,440,117,True,3,10.562948828843115,10.562948828843115,0.11190134520953755,0.0,0.09999610711384287,0.0,0.2792892558965697,0.6957821431858154,0.9583333333333334,0.027083333333333334,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.0,0.0,440 263 405 117,1709 1088 1621
support_shortest_path,96,230,129,True,3,10.351615044897493,10.351615044897493,0.32200984123063287,0.3002909268320483,0.14188885139581806,0.065326253498713,0.8049640029787374,0.16113173622276075,0.35353535353535354,0.1876306996627852,1.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.033270457289533074,230 22 179 129,914 138 783
support_shortest_path,97,287,349,False,0,,,,,,,,,,,,,,,,,0.0,,
