step,train_action_mse,train_weighted_action_mse
1,0.22757558524608612,0.2289009392261505
1000,0.019575661048293114,0.02005532570183277
2000,0.014596715569496155,0.014842810109257698
3000,0.013370799832046032,0.013597669079899788
