edge_id,bank_edge_id,src,dst,repair_score,repair_reason,edge_action_mse,num_policy_eval_samples,edge_action_mse_ucb,direct_edge_policy_support_score
2743,250,9,179,4.614562773144822,low_compatibility_junction,0.005531065681836857,29,0.03259939679184147,0.8952777142059192
2744,10736,498,179,4.607762622481107,low_compatibility_junction,0.005131809724844061,28,0.03166639647965532,0.9024552319464784
2745,4226,198,179,4.606598244333849,low_compatibility_junction,0.005842088527354081,31,0.03274871757424897,0.8897259628785137
2746,10441,483,179,4.556642730889783,low_compatibility_junction,0.004161009495700931,21,0.03175063321695207,0.9201485174894816
2747,1316,61,21,4.521547175684097,low_compatibility_junction,0.0055066582625096835,44,0.02743338457645711,0.895714849262323
2748,3826,179,43,4.503223756266469,low_compatibility_junction,0.006734332265196381,137,0.02047611436946882,0.8739897375720678
2749,6606,302,21,4.500788208674888,low_compatibility_junction,0.005465382705248582,12,0.04729421466806556,0.8964545771381245
2750,9051,418,179,4.490951657800575,low_compatibility_junction,0.004625315428711474,6,0.05904438645921511,0.911643459775884
2751,3846,179,253,4.48066922243868,low_compatibility_junction,0.006319207236710198,101,0.021822597642192826,0.8812762441228066
2752,3832,179,129,4.4769263050221815,low_compatibility_junction,0.006834548227625954,85,0.02440979836265386,0.8722397374832678
2753,4153,195,21,4.47278101677828,low_compatibility_junction,0.007705066137714311,20,0.046175692643298606,0.8571851642494736
2754,3856,179,313,4.471475776721903,low_compatibility_junction,0.007016918776991168,104,0.02311642760062914,0.8690641156008819
2755,3842,179,245,4.449913810174477,low_compatibility_junction,0.0068002159289103385,49,0.029889974022631688,0.872838863057688
2756,3877,179,488,4.449828743983498,low_compatibility_junction,0.0064942012506245235,67,0.025790834444085312,0.8781972739327014
2757,3823,179,13,4.442951477379996,low_compatibility_junction,0.00776433281568891,176,0.020782558881991306,0.8561697158490169
2758,3844,179,250,4.433097946339322,low_compatibility_junction,0.00643310680364569,3,0.09719547620287282,0.8792709893153721
2759,3824,179,34,4.428809860546299,low_compatibility_junction,0.0066250419001341295,294,0.015929192273045813,0.8759022000975023
2760,3847,179,256,4.427320917521282,low_compatibility_junction,0.006347765759428976,274,0.015781665058795732,0.8807730288945365
2761,3859,179,333,4.4196833409602005,low_compatibility_junction,0.007897269039805158,204,0.02009220304571143,0.8538964198374703
2762,3864,179,392,4.415331566843526,low_compatibility_junction,0.007283866949079266,121,0.022490896443564366,0.8644365781778484
2763,3873,179,472,4.408167927081979,low_compatibility_junction,0.008266343944391387,148,0.02291446597529543,0.8476165908306316
2764,3858,179,322,4.402409983729413,low_compatibility_junction,0.007079619463061974,179,0.019405969974201003,0.8679749803131523
2765,3835,179,158,4.390752049287623,low_compatibility_junction,0.006841562207926578,138,0.020642041452380355,0.8721173886182711
2766,516,21,141,4.387280020508721,low_compatibility_junction,0.006828013000532662,81,0.02482338097204691,0.8723537506294083
2767,505,21,31,4.383516928981619,low_compatibility_junction,0.005801021614821539,63,0.024608823371344637,0.8904570290296219
2768,3861,179,353,4.380526239692448,low_compatibility_junction,0.007592407531565291,174,0.020539468790732474,0.859118727473146
2769,545,21,381,4.368233482356548,low_compatibility_junction,0.008070198746035033,59,0.030993237080592612,0.8509482399144979
2770,539,21,319,4.36349736095323,low_compatibility_junction,0.007767465436261083,58,0.030449485970512807,0.856116076432051
2771,7714,354,179,4.356689558497088,low_compatibility_junction,0.006602033432126555,73,0.02524150092439431,0.8763053562054063
2772,509,21,74,4.353341636189724,low_compatibility_junction,0.00638152508084507,108,0.021447818940101462,0.8801785436157752
2773,3216,155,179,4.350522722550125,low_compatibility_junction,0.0067057215125875215,170,0.01901561704489051,0.8744899907679093
2774,547,21,409,4.3401391842900585,low_compatibility_junction,0.006057363896009822,6,0.06833358881760587,0.885903475962998
2775,5566,257,179,4.334520208871834,low_compatibility_junction,0.008063660269088821,134,0.023268077657871776,0.8510595252996905
2776,521,21,186,4.332560268644118,low_compatibility_junction,0.0023737007286399603,1,0.09786615445742039,0.9536352534301158
2777,10107,471,179,4.329193287703847,low_compatibility_junction,0.007456372289729332,101,0.024297034945791565,0.8614593185352097
2778,3977,186,21,4.324182166092817,low_compatibility_junction,0.008783449768088758,2,0.13867282698787872,0.8388956157255266
2779,5341,249,179,4.321376730016854,low_compatibility_junction,0.009221610325552961,68,0.032046306131348956,0.8315763134481118
2780,518,21,156,4.320825323455551,low_compatibility_junction,0.0055162185297096865,78,0.021998962071463894,0.8955436001688365
2781,554,21,449,4.311124626065976,low_compatibility_junction,0.006752219531335868,136,0.02056273517308612,0.8736771277519696
2782,4997,236,179,4.303030909794025,low_compatibility_junction,0.009129625687896574,59,0.03351090846536696,0.8331075664512884
2783,4125,194,179,4.300741959513678,low_compatibility_junction,0.008128361444299419,75,0.028532907775749065,0.8499589465114556
2784,3872,179,471,4.293862596094396,low_compatibility_junction,0.008318668237495186,95,0.026659590529968434,0.8467300360163137
2785,10039,467,179,4.291368916612115,low_compatibility_junction,0.007748217617764192,85,0.026461394101792424,0.8564457072117432
2786,10867,506,179,4.266457318854401,low_compatibility_junction,0.008930831991165178,32,0.041674478405994725,0.8364264905493795
2787,9691,446,179,4.262991531207003,low_compatibility_junction,0.009203240137801251,44,0.03754978366341445,0.8318818938405246
2788,9004,416,179,4.254267444664918,low_compatibility_junction,0.011306978144642451,46,0.04203611997127456,0.7976067775882636
2789,3840,179,236,4.250173561392115,low_compatibility_junction,0.0073094813047819545,63,0.028421466684509157,0.863993851869105
2790,10812,504,179,4.244850812067993,low_compatibility_junction,0.005797458067536354,45,0.028044312982456427,0.8905204950058025
2791,3177,153,179,4.244395050504502,low_compatibility_junction,0.005100822243894939,42,0.026700711315560496,0.903014701580265
2792,504,21,12,4.241832364300108,low_compatibility_junction,0.006230142942676844,89,0.022628867587725546,0.8828474480196387
2793,10030,467,21,4.239575311566864,low_compatibility_junction,0.007383473528369161,176,0.02007839733193381,0.862716220924502
