condition,top_q,removed_nodes,path_coverage,mean_path_cost,reachable_pair_ratio,average_shortest_path_length
before,0.1,,1.0,21.506863968417907,1.0,22.597465198050916
after,0.1,371 259 163 175 21 22 429 120 266 171 410 3 139,1.0,23.16736068061524,1.0,24.546206559141705
