method,num_queries,num_reachable,path_coverage,mean_path_length,mean_planning_path_cost,mean_base_path_cost,mean_pair_penalty_cost,mean_edge_proxy_score,mean_min_edge_proxy_score,mean_heldout_support_lcb,mean_min_heldout_support_lcb,mean_edge_policy_support_score,mean_edge_ood_score,mean_pair_termination_bridge_coverage,mean_min_pair_termination_bridge_coverage,mean_pair_bridge_matches_per_first_segment,mean_pair_strict_compatible_rate,mean_pair_incompatible_fraction,mean_low_pair_coverage_fraction,mean_missing_pair_fraction,mean_uncertified_edge_fraction,mean_original_uncertified_edge_fraction,mean_high_pair_risk_fraction,mean_proxy_path_success_reachable,mean_proxy_path_success_over_all,num_graph_nodes,num_graph_edges,num_pair_compatibility_edges,coverage_delta_vs_support,num_common_reachable_with_support,base_cost_delta_common_vs_support,min_pair_coverage_delta_common_vs_support,pair_incompatible_delta_common_vs_support,min_proxy_delta_common_vs_support,mean_repair_edge_fraction,mean_num_repair_edges,mean_repair_certified_fraction,mean_repair_edge_proxy_score,mean_min_repair_edge_proxy_score
support_shortest_path,100,51,0.51,3.4313725490196076,12.242883552647953,12.242883552647953,23.774228097145883,0.2517678593130067,0.12611836554525188,0.1994033420107503,0.06524222047393104,0.49770385701267283,0.46282915027970545,0.024298666482966143,0.007352941176470588,0.08105432588898602,0.0915032679738562,0.9084967320261437,0.9150326797385621,0.0,0.35196078431372546,0.35196078431372546,0.9901960784313726,0.016632835866439818,0.008482746291884306,356,2397,33117,0.0,51.0,0.0,0.0,0.0,0.0,0.30196078431372547,1.0392156862745099,0.9619047619047618,0.34960789670449266,0.3251370174237775
calibrated_compat_penalized,100,51,0.51,3.549019607843137,68.25977245981775,13.158273660618795,22.13146740835703,0.317035952669902,0.18096773291574852,0.23914688103626125,0.08635068597178093,0.5916057638985377,0.3748561966267271,0.11470740435987624,0.024151625923606795,0.6664644934931128,0.29901960784313725,0.7009803921568627,0.7294117647058824,0.0,0.1915032679738562,0.1915032679738562,0.9071895424836601,0.024518504203357223,0.012504437143712181,356,2397,33117,0.0,51.0,0.9153901079708415,0.01679868474713621,-0.20751633986928097,0.05484936737049664,0.3349673202614379,1.196078431372549,0.9639639639639639,0.3938629184279343,0.35557096335070754
compat_threshold,100,48,0.48,6.208333333333333,23.53210792535327,23.53210792535327,35.61116860367786,0.34290832667995225,0.14921024563234433,0.22113504440791684,0.03779347137696447,0.626471273361625,0.3348370526903362,0.3222437876798588,0.10688152295465751,1.697972219361931,1.0,0.0,0.0,0.0,0.16187996031746033,0.16187996031746033,0.7784060846560846,0.008935753204782806,0.004289161538295747,356,2397,33117,-0.030000000000000027,48.0,11.449244717912569,0.09906902295465751,-0.9027777777777777,0.018275602296394633,0.2517729377104377,1.5625,0.9907407407407407,0.4469023878584901,0.36210542271071283
calibrated_compat_threshold,100,48,0.48,7.604166666666667,71.69780492078553,25.832040154798204,43.47059714417057,0.460103033081871,0.24703570120834073,0.3429959439716081,0.09989423791106256,0.7284503105918577,0.22241185435793454,0.33578067103568393,0.09535094156915931,1.5705253108694635,1.0,0.0,0.0,0.0,0.03525207431457431,0.03525207431457431,0.7605233886483885,0.012003151343155221,0.005761512644714505,356,2397,33117,-0.030000000000000027,48.0,13.749176947357503,0.08753844156915931,-0.9027777777777777,0.11610105787239103,0.42290839947089953,3.2291666666666665,0.975609756097561,0.5639567423397228,0.4030214986476135
