group_type,group_value,num_edges,mean_edge_action_mse,median_edge_action_mse,sample_weighted_edge_action_mse,mean_direct_policy_support_score,mean_planner_usage_count,dataset,phase2_run,method,seed
all_repair_edges,all_repair_edges,500,0.011298806177335446,0.007032606462864122,0.00960501981282825,0.8150779017638101,0.11,scene-play-v0,core_plus_bottleneck_budget192_H5,augmented_loss_support_bottleneck_s03,1
planner_usage_group,not_planner_used,452,0.011355551525149358,0.006989353124806254,0.009583173479019987,0.8143443572145963,0.0,scene-play-v0,core_plus_bottleneck_budget192_H5,augmented_loss_support_bottleneck_s03,1
planner_usage_group,planner_used,48,0.010764454152087799,0.00730094016419295,0.009784225695182905,0.8219854462689075,1.1458333333333333,scene-play-v0,core_plus_bottleneck_budget192_H5,augmented_loss_support_bottleneck_s03,1
support_group,high_support,241,0.009329187704077493,0.006059775664503072,0.008960609142831621,0.8396813842715732,0.13278008298755187,scene-play-v0,core_plus_bottleneck_budget192_H5,augmented_loss_support_bottleneck_s03,1
support_group,low_support,259,0.013131539969054237,0.008533888554666191,0.01317519822063822,0.792184313793266,0.0888030888030888,scene-play-v0,core_plus_bottleneck_budget192_H5,augmented_loss_support_bottleneck_s03,1
bottleneck_group,high_bottleneck,240,0.012091243368976292,0.007534580214534377,0.009974100879017884,0.803758128033324,0.0875,scene-play-v0,core_plus_bottleneck_budget192_H5,augmented_loss_support_bottleneck_s03,1
bottleneck_group,low_bottleneck,260,0.0105673256927439,0.006609539817051204,0.009277484922297423,0.8255269236688743,0.13076923076923078,scene-play-v0,core_plus_bottleneck_budget192_H5,augmented_loss_support_bottleneck_s03,1
horizon_group,long_horizon,54,0.012870993589455103,0.00826681475248337,0.009047312594762954,0.795878002136911,0.037037037037037035,scene-play-v0,core_plus_bottleneck_budget192_H5,augmented_loss_support_bottleneck_s03,1
horizon_group,short_horizon,446,0.011108451647616922,0.006922721047383384,0.009641313253049563,0.8174025532881432,0.11883408071748879,scene-play-v0,core_plus_bottleneck_budget192_H5,augmented_loss_support_bottleneck_s03,1
compatibility_group,unknown,500,0.011298806177335446,0.007032606462864122,0.00960501981282825,0.8150779017638101,0.11,scene-play-v0,core_plus_bottleneck_budget192_H5,augmented_loss_support_bottleneck_s03,1
repair_reason,low_compatibility_junction,500,0.011298806177335446,0.007032606462864122,0.00960501981282825,0.8150779017638101,0.11,scene-play-v0,core_plus_bottleneck_budget192_H5,augmented_loss_support_bottleneck_s03,1
