step,train_action_mse,train_weighted_action_mse
1,0.5661098957061768,0.5669872760772705
1000,0.1334042102098465,0.13211634755134583
2000,0.10514764487743378,0.10414551198482513
3000,0.08987259864807129,0.08897794038057327
