group_type,group_value,num_edges,mean_edge_action_mse,median_edge_action_mse,sample_weighted_edge_action_mse,mean_direct_policy_support_score,mean_planner_usage_count,dataset,phase2_run,method,seed
all_repair_edges,all_repair_edges,200,0.08182220053342942,0.0762817216952919,0.08288129966802663,0.21745060448411993,0.23,antmaze-large-stitch-v0,core_plus_bottleneck_budget120_H10,planner_relevant_repair_s04,0
planner_usage_group,not_planner_used,179,0.08081136148921346,0.07518557143486199,0.08011644240279527,0.22192887702280997,0.0,antmaze-large-stitch-v0,core_plus_bottleneck_budget120_H10,planner_relevant_repair_s04,0
planner_usage_group,planner_used,21,0.090438400005556,0.08712037954384189,0.09667842434380015,0.1792786623686189,2.1904761904761907,antmaze-large-stitch-v0,core_plus_bottleneck_budget120_H10,planner_relevant_repair_s04,0
support_group,high_support,99,0.0813760722884304,0.07929654355855688,0.08259914778224199,0.20668284084376268,0.36363636363636365,antmaze-large-stitch-v0,core_plus_bottleneck_budget120_H10,planner_relevant_repair_s04,0
support_group,low_support,101,0.08225949455575518,0.07308359304112745,0.08593191279269123,0.22800514508209385,0.09900990099009901,antmaze-large-stitch-v0,core_plus_bottleneck_budget120_H10,planner_relevant_repair_s04,0
bottleneck_group,high_bottleneck,94,0.0845638406220688,0.07847318428171207,0.0827450301584016,0.21128510132199094,0.19148936170212766,antmaze-large-stitch-v0,core_plus_bottleneck_budget120_H10,planner_relevant_repair_s04,0
bottleneck_group,low_bottleneck,106,0.07939093479444732,0.07514450245862918,0.08299251392147781,0.2229181261561966,0.2641509433962264,antmaze-large-stitch-v0,core_plus_bottleneck_budget120_H10,planner_relevant_repair_s04,0
horizon_group,long_horizon,91,0.07713051364214092,0.0720163993537426,0.08649388758130291,0.23611778839821748,0.23076923076923078,antmaze-large-stitch-v0,core_plus_bottleneck_budget120_H10,planner_relevant_repair_s04,0
horizon_group,short_horizon,109,0.08573911344267025,0.07957782087874074,0.0820269539397416,0.20186607479436877,0.22935779816513763,antmaze-large-stitch-v0,core_plus_bottleneck_budget120_H10,planner_relevant_repair_s04,0
compatibility_group,unknown,200,0.08182220053342942,0.0762817216952919,0.08288129966802663,0.21745060448411993,0.23,antmaze-large-stitch-v0,core_plus_bottleneck_budget120_H10,planner_relevant_repair_s04,0
repair_reason,low_compatibility_junction,200,0.08182220053342942,0.0762817216952919,0.08288129966802663,0.21745060448411993,0.23,antmaze-large-stitch-v0,core_plus_bottleneck_budget120_H10,planner_relevant_repair_s04,0
