H,density_top_p,random_same_budget,bottleneck_top_p,core_plus_bottleneck
1,0.85,0.18875,1.0,1.0
5,0.925,0.18875,1.0,1.0
10,0.875,0.19625,1.0,1.0
25,0.9,0.18750000000000003,1.0,1.0
50,0.925,0.1975,1.0,1.0
