H,support_asymmetry,one_way_edge_ratio,num_support_edges,num_support_nodes,num_self_edges,num_inter_edges,num_all_supported_edges,mean_directed_asymmetry,one_way_reachable_ratio,reachable_pair_ratio,directed_reachable_pair_ratio,num_sampled_pairs
1,0.02506006006006006,0.11538461538461539,780,400,248,780,1028,0.03135050189775289,0.0032,0.372,0.3704,5000
5,0.07476730190571715,0.07875894988066826,1257,400,252,1257,1509,0.030895787068537996,0.0,0.4304,0.4304,5000
10,0.1312061337355455,0.11318681318681319,1820,400,252,1820,2072,0.026580624414289232,0.0,0.4288,0.4288,5000
25,0.215580547112462,0.1316154059296204,3609,400,253,3609,3862,0.03308324936943752,0.0,0.4182,0.4182,5000
50,0.2590885582349923,0.1488845044771589,6589,400,253,6589,6842,0.04336602872337451,0.0,0.4372,0.4372,5000
